Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,855,1089,23.75
Curfew/Loitering/Vagrancy Violations ,1326,620,23.77
Disorderly Conduct ,3552,1560,62.45
Driving Under the Influence ,21941,6954,352.99
Drunkenness ,26500,5557,391.61
"Family Offenses, Nonviolent ",2133,652,34.02
Liquor Law Violations ,8334,3309,142.23
Peeping Tom,50,4,0.66
Runaway,1548,1986,43.17
Trespass of Real Property,8180,2056,125.04
Conspiracy to Commit Group A Offense,89,46,1.65
All Other Offenses (except most traffic),74331,27452,1243.4
Total ,148839,51285,2444.75
