Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,423
Common-Law Spouse,36
Parent,163
Sibling,241
Child,339
Grandparent,19
Grandchild,20
In-Law,28
Stepparent,33
Stepchild,40
Stepsibling,4
Other Family Member,203
Victim Was Offender,469
Acquaintance,2111
Friend,347
Neighbor,151
Babysittee (the baby),54
Boyfriend/Girlfriend,1016
Child of Boyfriend/Girlfriend,45
Homosexual Relationship,37
Ex-Spouse,41
Employee,12
Employer,12
Otherwise Known,1072
Relationship Unknown,2573
Victim Was Stranger,1835
