Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,2,3,,,,5
,F ,5,5,,,,10
10--14,M ,3,1,,,,4
,F ,,2,,,,2
15-19 ,M ,5,20,,,,25
,F ,1,1,,,,2
20-24 ,M ,6,35,,,,41
,F ,1,4,,,,5
25-29 ,M ,6,32,,,,38
,F ,2,3,,,,5
30-34 ,M ,3,28,,,,31
,F ,3,1,,1,,5
35-39 ,M ,6,10,,,1,17
,F ,1,5,,,,6
40-44 ,M ,6,7,,1,1,15
,F ,2,3,,,1,6
45-49 ,M ,6,9,,1,,16
,F ,5,4,,,,9
50-54 ,M ,12,11,,1,,24
,F ,6,3,,,,9
55-59 ,M ,4,8,,1,,13
,F ,1,,,,,1
60-64 ,M ,5,,,,,5
,F ,3,,,,,3
65 & Over ,M ,5,2,,,,7
,F ,8,1,,,,9
Unknown ,M ,,1,,,1,2
,F ,1,,,,,1
TOTAL ,M ,69,167,0,4,3,243
,F ,39,32,0,1,1,73
