Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10 ,3,62,6,,
10--12,1,82,9,,
13-14 ,4,138,36,2,
15,2,64,29,1,
16,,71,40,,
17,,66,58,,
18,,80,63,,
19,,69,50,1,
20,1,62,62,,
21,,61,66,1,
22,1,56,51,1,
23,,57,37,1,
24,1,45,50,1,
25-29 ,,166,200,10,
30-34 ,,105,137,2,
35-39 ,,84,105,1,
40-44 ,,66,100,6,
45-49 ,1,41,77,,
50-54 ,,35,58,,
55-59 ,,21,33,,
60-64 ,,3,15,,
65 & Over ,,8,16,,
Unknown Age ,1,7,114,3,84
TOTAL ,15,1449,1412,30,84
White ,10,968,728,19,
Black ,3,444,622,9,2
Am. Ind. or ,,,,,
Alaskan Native ,,1,,,
Asian or ,,,,,
Pacific Islander ,,22,13,1,
Unknown Race ,2,14,49,1,82
TOTAL ,15,1449,1412,30,84
