Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,149
Common-Law Spouse,9
Parent,13
Sibling,13
Child,113
Grandparent,2
Grandchild,10
In-Law,7
Stepparent,6
Stepchild,4
Stepsibling,0
Other Family Member,47
Victim Was Offender,14
Acquaintance,221
Friend,48
Neighbor,4
Babysittee (the baby),6
Boyfriend/Girlfriend,405
Child of Boyfriend/Girlfriend,4
Homosexual Relationship,4
Ex-Spouse,21
Employee,3
Employer,0
Otherwise Known,130
Relationship Unknown,288
Victim Was Stranger,262
