Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian,
COUNTY,,,,,
ACCOMACK COUNTY,,,,,
Sheriff's Office,59,52,7,11,
Chincoteague PD,10,9,1,4,
Onancock PD,5,4,1,0,
Parksley PD,3,3,0,0,
Onley PD,3,3,0,0,
Bloxom PD,1,1,0,0,
ALBEMARLE COUNTY,,,,,
Albemarle County PD,115,102,13,27,
ALLEGHANY COUNTY,,,,,
Sheriff's Office,42,36,6,18,
AMELIA COUNTY,,,,,
Sheriff's Office,16,16,0,10,
AMHERST COUNTY,,,,,
Sheriff's Office,44,38,6,5,
Amherst PD,5,5,0,0,
APPOMATTOX COUNTY,,,,,
Sheriff's Office,18,18,0,1,
ARLINGTON COUNTY,,,,,
Arlington County PD,364,299,65,73,
AUGUSTA COUNY,,,,,
Sheriff's Office,62,57,5,10,
BATH COUNTY,,,,,
Sheriff's Office,18,13,5,0,
BEDFORD COUNTY,,,,,
Sheriff's Office,82,74,8,7,
BLAND COUNTY,,,,,
Sheriff's Office,10,10,0,6,
BOTETOURT COUNTY,,,,,
Sheriff's Office,93,81,12,22,
BRUNSWICK COUNTY,,,,,
Sheriff's Office,26,24,2,12,
Lawrenceville PD,6,6,0,0,
BUCHANAN COUNTY,,,,,
Sheriff's Office,35,32,3,13,
Grundy PD,6,6,0,0,
BUCKINGHAM COUNTY,,,,,
Sheriff's Office,17,17,0,8,
CAMPBELL COUNTY,,,,,
Sheriff's Office,56,52,4,9,
Altavista PD,13,13,0,0,
Brookneal PD,1,1,0,0,
CAROLINE COUNTY,,,,,
Sheriff's Office,45,37,8,20,
Bowling Green PD,,,,,
CARROLL COUNTY,,,,,
Sheriff's Office,33,31,2,6,
Hillsville PD,12,12,0,1,
CHARLES CITY COUNTY,,,,,
Sheriff's Office,8,8,0,6,
CHARLOTTE COUNTY,,,,,
Sheriff's Office,28,21,7,2,
CHESTERFIELD COUNTY,,,,,
Chesterfield County PD,489,439,50,103,
CLARKE COUNTY,,,,,
Sheriff's Office,17,16,1,12,
Berryville PD,8,8,0,1,
CRAIG COUNTY,,,,,
Sheriff's Office,9,9,0,5,
CULPEPER COUNTY,,,,,
Sheriff's Office,80,66,14,12,
Culpeper PD,35,32,3,8,
CUMBERLAND COUNTY,,,,,
Sheriff's Office,15,13,2,6,
DICKENSON COUNTY,,,,,
Sheriff's Office,21,20,1,13,
Clintwood PD,4,4,0,0,
Haysi PD,2,2,0,1,
DINWIDDIE COUNTY,,,,,
Sheriff's Office,38,36,2,3,
ESSEX COUNTY,,,,,
Sheriff's Office,13,11,2,6,
Tappahannock PD,9,9,1,,
FAIRFAX COUNTY,,,,,
Fairfax County PD,1354,1178,176,296,
Herndon PD,54,49,5,15,
Vienna PD,37,32,5,11,
FAUQUIER COUNTY,,,,,
Sheriff's Office,119,110,9,18,
Remington PD,1,1,0,0,
Warrenton PD,19,16,3,2,
FLOYD COUNTY,,,,,
Sheriff's Office,19,17,2,10,
FLUVANNA COUNTY,,,,,
Sheriff's Office,26,22,4,13,
FRANKLIN COUNTY,,,,,
Sheriff's Office,71,63,8,19,
Rocky Mount PD,21,20,1,2,
FREDERICK COUNTY,,,,,
Sheriff's Office,109,98,11,17,
Middletown PD,2,2,0,0,
Stephens City PD,4,4,0,0,
GILES COUNTY,,,,,
Sheriff's Office,27,26,1,11,
Glen Lyn PD,1,1,0,0,
Pearisburg PD,7,7,0,0,
Pembroke PD,2,2,0,0,
Rich Creek PD,1,1,0,0,
Narrows PD,4,4,0,0,
GLOUCESTER COUNTY,,,,,
Sheriff's Office,46,40,6,10,
GOOCHLAND COUNTY,,,,,
Sheriff's Office,30,26,4,10,
GRAYSON COUNTY,,,,,
Sheriff's Office,22,21,1,6,
Independence PD,2,2,0,0,
GREENE COUNTY,,,,,
Sheriff's Office,22,20,2,15,
GREENSVILLE COUNTY,,,,,
Sheriff's Office,22,20,2,13,
HALIFAX COUNTY,,,,,
Sheriff's Office,32,30,2,0,
Halifax PD,3,3,0,0,
South Boston PD,29,25,4,2,
HANOVER COUNTY,,,,,
Sheriff's Office,211,195,16,17,
Ashland PD,24,23,1,3,
HENRICO COUNTY,,,,,
Henrico County PD,595,537,58,177,
HENRY COUNTY,,,,,
Sheriff's Office,114,102,12,13,
HIGHLAND COUNTY,,,,,
Sheriff's Office,7,7,0,5,
ISLE OF WIGHT COUNTY,,,,,
Sheriff's Office,46,40,6,7,
Smithfield PD,21,19,2,4,
Windsor PD,6,6,0,0,
JAMES CITY COUNTY,,,,,
James City County PD,93,75,18,5,
KING & QUEEN COUNTY,,,,,
Sheriff's Office,13,12,1,8,
KING GEORGE COUNTY,,,,,
Sheriff's Office,28,25,3,14,
KING WILLIAM COUNTY,,,,,
Sheriff's Office,20,19,1,12,
West Point PD,8,7,1,1,
LANCASTER COUNTY,,,,,
Sheriff's Office,25,20,5,6,
Kilmarnock PD,4,2,2,0,
White Stone PD,,,,,
LEE COUNTY,,,,,
Sheriff's Office,35,28,7,0,
Jonesville PD,2,2,0,0,
Pennington Gap PD,6,5,1,0,
LOUDOUN COUNTY,,,,,
Sheriff's Office,527,461,66,106,
Leesburg PD,85,79,6,16,
Middleburg PD,5,4,1,0,
Purcellville PD,13,11,2,1,
LOUISA COUNTY,,,,,
Sheriff's Office,48,45,3,12,
Louisa PD,6,5,1,0,
LUNENBURG COUNTY,,,,,
