Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”,Name: “Table 1 of 1 on page 32 of 95”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,,,,,,
Figure 5,Figure 5,,,,,,,,,,,,,
Violence Risk Appraisal Guide (VRAG) Instrument,Violence Risk Appraisal Guide (VRAG) Instrument,Violence Risk Appraisal Guide (VRAG) Instrument,,,,,,,,,,,,
1.,Psychopathy Checklist- Revised (PCL-R),Psychopathy Checklist- Revised (PCL-R),7.,Non-Violent Offense Score - Score offenses committed,Non-Violent Offense Score - Score offenses committed,Non-Violent Offense Score - Score offenses committed,Non-Violent Offense Score - Score offenses committed,11.,History of Alcohol Abuse,History of Alcohol Abuse,History of Alcohol Abuse,History of Alcohol Abuse,History of Alcohol Abuse,
,PCL-R Range,Score,,that are listed below and then add scores together,that are listed below and then add scores together,that are listed below and then add scores together,that are listed below and then add scores together,,Score all characteristics listed below and add scores together,Score all characteristics listed below and add scores together,Score all characteristics listed below and add scores together,Score all characteristics listed below and add scores together,Score all characteristics listed below and add scores together,
,0-4,-5,,"Robbery (bank, store)",,7,,,,Parental alcoholism,Parental alcoholism,Parental alcoholism,Parental alcoholism,1
,5-9,-3,,Robbery (purse snatching),Robbery (purse snatching),3,,,,Teenage alcohol problem,Teenage alcohol problem,Teenage alcohol problem,Teenage alcohol problem,1
,10-14,-1,,"Arson (church, house, barn)","Arson (church, house, barn)",5,,,,Adult alcohol problem,Adult alcohol problem,Adult alcohol problem,Adult alcohol problem,1
,15-24,0,,Arson (garbage can),,1,,,,Alcohol involved in prior offense,Alcohol involved in prior offense,Alcohol involved in prior offense,Alcohol involved in prior offense,1
