Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,,,,,,
,F ,,,,,,
10--14,M ,1,1,,,,2
,F ,,,,,,
15-19 ,M ,12,42,,1,,55
,F ,2,4,,,,6
20-24 ,M ,19,75,,,,94
,F ,5,3,,,,8
25-29 ,M ,16,36,,,,52
,F ,5,2,,,,7
30-34 ,M ,15,36,,,,51
,F ,2,1,,,,3
35-39 ,M ,14,5,,,,19
,F ,,1,,,,1
40-44 ,M ,15,6,,2,,23
,F ,2,3,,,,5
45-49 ,M ,6,9,,1,,16
,F ,1,1,,,,2
50-54 ,M ,7,6,,,,13
,F ,2,1,,,,3
55-59 ,M ,5,2,,,,7
,F ,,2,,,,2
60-64 ,M ,9,2,,,,11
,F ,,,,,,
65 & Over ,M ,7,,,,,7
,F ,F,,,,,
Unknown ,M ,2,18,,,1,21
,F ,,1,,,,1
,U ,,,,,23,23
,M ,128,238,,4,1,371
TOTAL ,F ,19,19,,,,38
,Unknown ,,,,,23,23
