Relationship of Victim to Offender (may include multiple relationships),Total
Spouse,84
Common-Law Spouse,7
Parent,2
Sibling,153
Child,314
Grandparent,1
Grandchild,79
In-Law,14
Stepparent,27
Stepchild,153
Stepsibling,40
Other Family Member,346
Acquaintance,1161
Friend,308
Neighbor,74
Babysittee (the baby),34
Boyfriend/Girlfriend,244
Child of Boyfriend/Girlfriend,38
Homosexual Relationship,5
Ex-Spouse,7
Employee,14
Employer,10
Otherwise Known,511
Stranger,358
Unknown,707
Not Reported ,90
Total Number of Victims,4781
