Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,6,4,,,,10
,F ,1,3,,,,4
10--14,M ,,,,,,
,F ,,,,,,
15-19 ,M ,13,14,,,,27
,F ,5,3,,2,,10
20-24 ,M ,11,45,,,,56
,F ,10,6,,,1,17
25-29 ,M ,16,32,,,,48
,F ,7,7,,,,14
30-34 ,M ,6,8,,,,14
,F ,6,1,,,,7
35-39 ,M ,9,15,,,,24
,F ,5,5,,1,,11
40-44 ,M ,12,12,,,,24
,F ,6,3,,1,,10
45-49 ,M ,6,10,,1,,17
,F ,5,2,,1,,8
50-54 ,M ,6,3,,,1,10
,F ,4,2,,,,6
55-59 ,M ,5,5,1,,,11
,F ,3,3,,,,6
60-64 ,M ,3,2,,1,,6
,F ,6,,,,,6
65 & Over ,M ,8,2,,,,10
,F ,5,1,,,,6
Unknown ,M ,,4,,,1,5
,F ,1,1,,,,2
TOTAL ,M ,101,156,1,2,2,262
,F ,64,37,,5,1,107
,,,,,,,11
,Unknown ,,,,,1,1
