Structure,Loss Value
Single Occupancy Dwelling,"6,598,170"
Other Dwelling,"1,189,723"
Commercial/Business,"1,729,575"
Industrial/Manufacturing,200
Public/Community,"461,887"
Storage,"237,809"
Other,"196,018"
Non-Structure,
Alcohol,
Automobiles,"1,285,536"
Bicycles,110
Buses,
Clothes/Furs,"12,620"
Computer Hardware/Software,25
Consumable Goods,"1,870"
Farm Equipment,"16,550"
Firearms,830
Heavy Construction/Indust.,"5,001"
Household Goods,"72,223"
Jewelry/Precious Metals,
Merchandise,"17,112"
Money,"1,100"
Negotiable Instruments,
Office-Type Equipment,7
Other Motor Vehicles,"22,553"
Purses/Handbags/Wallets,
Radios/TVs/VCRs,450
Recordings-Audio/Visual,15
Recreational Vehicles,"55,001"
Tools,451
Trucks,"144,076"
Vehicle Parts/Accessories,"47,904"
Watercraft,"12,000"
Other,"$499,045"
Pending Inventory,1
Total,"12,607,862"
