Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff's Office,50,43,7,11
Chincoteague PD,10,9,1,4
Onancock PD,4,4,0,0
Parksley PD,3,3,0,0
Onley PD,3,3,0,0
ALBEMARLE COUNTY,,,,
Albemarle County PD,112,97,15,26
ALLEGHANY COUNTY,,,,
Sheriff's Office,43,38,5,18
AMELIA COUNTY,,,,
Sheriff's Office,14,14,0,8
AMHERST COUNTY,,,,
Sheriff's Office,61,46,15,5
Amherst PD,4,4,0,0
APPOMATTOX COUNTY,,,,
Sheriff's Office,29,24,5,3
ARLINGTON COUNTY,,,,
Arlington County PD,340,280,60,79
AUGUSTA COUNY,,,,
Sheriff's Office,59,57,2,9
BATH COUNTY,,,,
Sheriff's Office,16,13,3,0
BEDFORD COUNTY,,,,
Sheriff's Office,77,72,5,6
BLAND COUNTY,,,,
Sheriff's Office,11,11,0,6
BOTETOURT COUNTY,,,,
Sheriff's Office,89,80,9,22
BRUNSWICK COUNTY,,,,
Sheriff's Office,20,20,14,
Lawrenceville PD,6,6,,
BUCHANAN COUNTY,,,,
Sheriff's Office,32,30,2,14
Grundy PD,5,5,0,0
BUCKINGHAM COUNTY,,,,
Sheriff's Office,17,16,1,8
CAMPBELL COUNTY,,,,
Sheriff's Office,57,54,3,8
Altavista PD,13,13,0,1
Brookneal PD,1,1,0,0
CAROLINE COUNTY,,,,
Sheriff's Office,49,40,9,19
Bowling Green PD,,,,
CARROLL COUNTY,,,,
Sheriff's Office,29,28,1,6
Hillsville PD,11,11,0,1
CHARLE CITY COUNTY,,,,
Sheriff's Office,9,9,0,6
CHARLOTTE COUNTY,,,,
Sheriff's Office,32,23,9,2
CHESTERFIELD COUNTY,,,,
Chesterfield County PD,474,425,49,99
CLARKE COUNTY,,,,
Sheriff's Office,17,15,2,12
Berryville PD,9,9,0,1
CRAIG COUNTY,,,,
Sheriff's Office,9,9,0,5
CULPEPER COUNTY,,,,
Sheriff's Office,78,63,15,17
Culpeper PD,39,34,5,7
CUMBERLAND COUNTY,,,,
Sheriff's Office,15,13,2,7
DICKENSON COUNTY,,,,
Sheriff's Office,21,19,2,9
Clintwood PD,4,4,0,0
Haysi PD,2,2,0,0
DINWIDDIE COUNTY,,,,
Sheriff's Office,39,38,1,3
ESSEX COUNTY,,,,
Sheriff's Office,18,16,2,6
Tappahannock PD,9,9,0,1
FAIRFAX COUNTY,,,,
