Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter ,0,0,3,2,3,9,17
Negligent Manslaughter ,0,0,0,1,0,0,1
Kidnaping/Abduction ,0,3,9,5,9,23,49
Forcible Rape ,1,1,9,7,13,18,49
Forcible Sodomy ,0,7,21,8,4,4,44
Sexual Assault with an Object ,0,2,5,3,2,1,13
Forcible Fondling ,2,34,51,32,21,20,160
Robbery ,2,4,36,64,122,148,376
Aggravated Assault ,5,35,110,85,100,140,475
Simple Assault ,29,545,1369,900,1088,974,4905
Intimidation ,0,14,42,35,42,49,182
Arson ,7,33,34,20,16,6,116
Extortion/Blackmail ,0,1,16,12,11,7,47
Burglary/Breaking & Entering ,9,42,159,189,197,232,828
Pocket Picking ,0,3,7,13,8,13,44
Purse Snatching ,0,0,0,1,3,1,5
Shoplifting ,6,128,493,474,608,754,2463
Theft from Building ,1,15,35,42,42,41,176
Theft from Coin-Operated Device ,0,0,0,0,3,3,6
Theft from Motor Vehicle ,0,1,20,10,31,30,92
Theft of Motor Vehicle Parts ,0,0,1,1,1,2,5
All Other Larceny ,9,126,507,478,535,620,2275
Motor Vehicle Theft ,0,11,29,47,54,56,197
Counterfeiting/Forgery ,0,1,2,5,10,24,42
False Pretenses/Swindle/Confidence Game ,1,1,12,11,21,27,73
Credit Card/Teller Machine Fraud ,0,0,4,3,4,31,42
Impersonation ,0,1,2,4,12,18,37
Welfare Fraud ,0,0,0,0,0,0,0
Wire Fraud ,0,0,0,0,0,0,0
