OTHER AGENCIES,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
"Alcoholic Beverage Control, Department of",,,201,0,0,0,0,0,0,5,0,0,1,46,0,31,41,5,1,0,87,0,0,1,0,0,5
"Capitol Police, Division of",,,71,0,0,0,0,0,0,4,0,0,2,29,0,0,1,0,0,32,2,0,0,0,0,0,2
"Conservation & Recreation, Department of",,,65,0,0,0,0,0,0,3,0,0,4,35,0,0,0,0,0,23,5,0,0,0,0,0,0
"Game & Inland Fisheries, Department of",,,439,0,0,0,0,0,4,5,0,0,0,7,2,8,30,0,2,9,160,0,0,0,0,0,241
"Motor Vehicles, Department of",,,734,0,0,0,0,0,0,0,0,0,0,8,37,468,198,36,47,0,3,0,0,0,0,2,0
Metropolitan Washington Airports Authority,,,648,0,0,0,0,0,1,31,1,0,0,261,69,12,13,3,4,173,25,0,0,0,0,0,70
Norfolk Airport Authority,,,75,0,0,0,0,0,0,1,0,0,0,41,6,0,0,0,0,7,9,0,0,0,0,0,11
Richmond International Airport,,,48,0,0,0,0,0,1,0,0,0,0,13,2,0,7,0,0,14,6,0,0,0,0,0,7
Southside Virginia Training Center,,,112,1,0,1,0,0,0,78,1,0,0,22,0,0,1,0,0,8,0,0,0,0,0,0,0
Virginia Port Authority,,,12,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
