Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,,,,,,
,F ,,,,,,
10--14,M ,3,1,,,,4
,F ,,,,,,
15-19 ,M ,11,48,,1,1,61
,F ,1,1,,,,2
20-24 ,M ,18,60,,,,78
,F ,4,3,,,,7
25-29 ,M ,19,29,,1,,49
,F ,4,5,,,1,10
30-34 ,M ,13,24,,,,37
,F ,2,,,,,2
35-39 ,M ,11,9,,,,20
,F ,1,1,,,,2
40-44 ,M ,7,10,,,,17
,F ,3,3,,,,6
45-49 ,M ,12,5,,,,17
,F ,1,1,,,,2
,U ,,,,,1,1
50-54 ,M ,7,6,,,,13
,F ,2,,,,,2
55-59 ,M ,4,2,,1,,7
,F ,1,1,,,,2
,U ,,,,,1,1
60-64 ,M ,5,1,,,,6
,F ,,,,,,
65 & Over ,M ,1,,,,,1
,F ,1,,,,,1
Unknown ,M ,4,13,,,1,18
,F ,,1,,,1,2
,U ,,,,,28,28
,M ,115,208,,3,2,328
TOTAL ,F ,20,16,,,2,38
,Unknown ,,,,,30,30
,F,1,,,,,
,U,,,,,,
65 & Over,M,4,2,,,,
,F,,,,,,
,U,,,,,,
Unknown,M,1,18,,,,1
,F,,2,,,,
,U,,,,,,26
,M,120,274,,,,2
TOTAL,F,21,32,,,4,
,U,,,,,,26
