Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,5,2,,,,7
,F ,3,3,,,,6
10/14/2014,M ,3,2,,,,5
,F ,1,1,,,,2
15-19 ,M ,5,18,,1,,24
,F ,5,1,,,,6
20-24 ,M ,11,48,,,,59
,F ,8,4,,1,,13
,Unknown ,,,,,1,1
25-29 ,M ,5,21,,,,26
,F ,0,6,,,,6
30-34 ,M ,7,30,,,,37
,F ,4,4,,,,8
35-39 ,M ,5,18,,1,,24
,F ,3,1,,1,,5
40-44 ,M ,9,11,,,,20
,F ,7,2,,,,9
45-49 ,M ,8,4,,,,12
,F ,6,4,,,,10
50-54 ,M ,7,6,,,,13
,F ,4,1,,,,5
55-59 ,M ,1,4,,,,5
,F ,9,2,,,,11
60-64 ,M ,4,,,,,4
,F ,1,1,,,,2
65 & Over ,M ,12,3,,,,15
,F ,4,1,,,,5
Unknown ,M ,3,2,,,1,6
,F ,2,1,,,,3
TOTAL ,M ,85,169,,2,1,257
,F ,57,32,,2,,91
,Unknown ,,,,,1,1
