Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter  ,255,31,0.26,0.08
Negligent Manslaughter,10,1,0.01,0
Kidnaping/Abduction,895,135,0.91,0.34
Forcible Rape  ,319,6,0.32,0.02
Forcible Sodomy,168,8,0.17,0.02
Sexual Assault with an Object,97,4,0.1,0.01
Forcible Fondling  ,655,21,0.67,0.05
Robbery,1761,187,1.79,0.47
Aggravated Assault  ,3386,1147,3.45,2.91
Simple Assault,26693,11664,27.16,29.59
Intimidation,1262,469,1.28,1.19
Arson,253,47,0.26,0.12
Extortion/Blackmail,59,20,0.06,0.05
Burglary/Breaking & Entering,3981,501,4.05,1.27
Pocket Picking  ,122,79,0.12,0.2
Purse Snatching  ,28,12,0.03,0.03
Shoplifting,7322,8553,7.45,21.7
Theft from Building,559,278,0.57,0.71
Theft from Coin-Operated Machine or Device,33,2,0.03,0.01
Theft from Motor Vehicle,587,63,0.6,0.16
Theft of Motor Vehicle Parts or Accessories,123,20,0.13,0.05
All Other Larceny  ,8250,4575,8.4,11.61
Motor Vehicle Theft  ,867,163,0.88,0.41
Counterfeiting/Forgery  ,1429,912,1.45,2.31
False Pretenses/Swindle/Confidence Game  ,1960,1026,1.99,2.6
Credit Card/Automatic Teller Machine Fraud,253,195,0.26,0.49
Impersonation,454,152,0.46,0.39
Welfare Fraud,8,60,0.01,0.15
Wire Fraud  ,4,3,0,0.01
Embezzlement,807,913,0.82,2.32
Stolen Property Offenses  ,878,167,0.89,0.42
Destruction/Damage/Vandalism of Property  ,3734,1024,3.8,2.6
Drug/Narcotic Violations  ,26361,5949,26.83,15.09
Drug Equipment Violations,232,77,0.24,0.2
Incest  ,8,1,0.01,0
Statutory Rape,125,3,0.13,0.01
Pornography/Obscene Material,115,22,0.12,0.06
Betting/Wagering,51,4,0.05,0.01
Operating/Promoting/Assisting Gambling,37,6,0.04,0.02
Gambling Equipment Violations  ,4,0,0,0
Sports Tampering  ,1,0,0,0
Prostitution  ,189,553,0.19,1.4
Assisting or Promoting Prostitution  ,104,60,0.11,0.15
Bribery,10,3,0.01,0.01
Weapon Law Violations  ,3821,300,3.89,0.76
Total,98270,39416,100,100
