Relationship of Victim to Offender (may include multiple relationships),Total
Spouse,74
Common-Law Spouse,3
Parent,7
Sibling,138
Child,246
Grandparent,2
Grandchild,78
In-Law,18
Stepparent,32
Stepchild,123
Stepsibling,37
Other Family Member,333
Acquaintance,1099
Friend,339
Neighbor,76
Babysittee (the baby),26
Boyfriend/Girlfriend,238
Child of Boyfriend/Girlfriend,51
Homosexual Relationship,4
Ex-Spouse,5
Employee,21
Employer,8
Otherwise Known,479
Stranger,346
Unknown,758
Not Reported,238
Total # Victims,4779
