Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter  ,286,0.21,3.63
Negligent Manslaughter,11,0.01,0.14
Kidnaping/Abduction  ,1030,0.75,13.07
Forcible Rape,325,0.24,4.12
Forcible Sodomy  ,176,0.13,2.23
Sexual Assault with an Object,101,0.07,1.28
Forcible Fondling of a Child  ,676,0.49,8.58
Robbery,1948,1.41,24.71
Aggravated Assault  ,4533,3.29,57.51
Simple Assault  ,38357,27.86,486.6
Intimidation  ,1731,1.26,21.96
Arson,300,0.22,3.81
Extortion/Blackmail  ,79,0.06,1
Burglary/Breaking & Entering  ,4482,3.26,56.86
Pocket Picking,201,0.15,2.55
Purse Snatching,40,0.03,0.51
Shoplifting  ,15875,11.53,201.39
Theft from Building,837,0.61,10.62
Theft from Coin-Operated Machine or Device,35,0.03,0.44
Theft from Motor Vehicle,650,0.47,8.25
Theft of Motor Vehicle Parts or Accessories  ,143,0.1,1.81
All Other Larceny  ,12825,9.31,162.7
Motor Vehicle Theft  ,1030,0.75,13.07
Counterfeiting/Forgery,2341,1.7,29.7
False Pretenses/Swindle/Confidence Game,2986,2.17,37.88
Credit Card/Automatic Teller Machine Fraud  ,448,0.33,5.68
Impersonation  ,606,0.44,7.69
Welfare Fraud  ,68,0.05,0.86
Wire Fraud,7,0.01,0.09
Embezzlement  ,1720,1.25,21.82
Stolen Property Offenses,1045,0.76,13.26
Destruction/Damage/Vandalism of Property,4758,3.46,60.36
Drug/Narcotic Violations,32310,23.74,409.89
Drug Equipment Violations  ,309,0.22,3.92
Incest,9,0.01,0.11
Statutory Rape,128,0.09,1.62
Pornography/Obscene Material  ,137,0.1,1.74
Betting/Wagering  ,55,0.04,0.7
Operating/Promoting/Assisting Gambling  ,43,0.03,0.55
Gambling Equipment Violations,4,0,0.05
Sports Tampering  ,1,0,0.01
Prostitution,742,0.54,9.41
Assisting or Promoting Prostitution,164,0.12,2.08
Bribery,13,0.01,0.16
Weapon Law Violations,4121,2.99,52.28
Total  ,137686,100,1746.71
