Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10 ,1,46,5,,
10--14,1,100,14,,
13-14 ,2,139,25,2,
15,1,104,35,,
16,,83,46,,
17,1,86,54,,
18,,108,79,3,
19,2,98,77,2,
20,,65,67,1,
21,2,60,55,2,
22,,47,60,,
23,1,44,54,,
24,,36,42,,
25-29 ,,153,224,2,
30-34 ,,97,147,3,
35-39 ,,86,108,1,
40-44 ,,54,99,3,
45-49 ,,50,70,3,
50-54 ,,14,44,1,
55-59 ,,10,19,,
60-64 ,,9,11,,
65 & Over ,,5,20,,
Unknown Age ,,11,128,,86
TOTAL ,11,1505,1483,23,86
White ,7,1048,808,16,
Black ,3,422,627,6,
Am. Ind. or ,,,,,
Alaskan Native ,,3,2,,
Asian or ,,,,,
Pacific Islander ,,15,7,,
Unknown Race ,1,17,39,1,86
TOTAL ,11,1505,1483,23,86
