,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter ,24,9,21,18,10,15,16,48,32,21,19,16,8,6,5,2,270
Negligent Manslaughter ,2,1,1,3,0,1,0,1,1,1,0,0,0,0,0,0,11
Kidnaping/Abduction ,38,59,50,50,51,52,41,200,127,116,76,58,41,14,5,9,987
Forcible Rape ,20,20,7,17,8,14,7,53,44,24,23,16,16,6,0,6,281
Forcible Sodomy ,7,7,5,1,2,2,3,17,15,11,18,13,7,6,4,5,123
Sexual Assault with an Object ,3,9,7,0,3,2,5,10,6,10,5,8,10,4,0,5,87
Forcible Fondling ,13,24,10,12,18,15,14,63,73,64,71,54,39,23,24,28,545
Robbery ,233,185,143,122,110,78,70,285,130,88,82,59,23,10,3,2,1623
Aggravated Assault ,227,200,214,249,192,186,159,718,493,392,378,320,185,87,29,45,4074
Simple Assault ,1190,1313,1386,1489,1398,1339,1371,5918,4495,3923,3630,3034,1742,843,389,350,33810
Intimidation ,68,59,57,67,63,52,58,227,185,193,144,174,90,47,36,20,1540
Arson ,18,9,11,11,12,2,5,35,21,14,10,8,11,7,2,2,178
Extortion/Blackmail ,2,4,2,0,1,1,3,11,3,7,4,4,0,1,0,1,44
Burglary/Breaking and Entering ,490,336,276,214,166,157,143,621,304,214,219,162,93,31,23,15,3464
Pocket Picking ,18,17,10,8,11,8,7,28,14,13,12,12,20,2,0,2,182
Purse Snatching ,3,3,1,2,0,0,0,8,1,3,2,5,0,1,0,0,29
Shoplifting ,1465,1238,937,795,623,547,465,1839,1221,980,935,819,545,269,131,98,12907
Theft from Building ,53,41,33,33,36,20,21,119,69,53,56,46,24,15,7,1,627
Theft from Coin-Operated Machine or Device ,3,2,2,1,4,2,0,2,7,6,2,0,1,2,0,0,34
Theft from Motor Vehicle ,70,71,62,42,32,16,39,70,34,22,13,14,6,3,0,3,497
Theft of Motor Vehicle Parts ,11,12,8,14,3,6,3,16,15,11,9,4,6,3,2,0,123
All Other Larceny ,1013,864,697,563,503,463,406,1603,1045,912,876,749,441,217,126,82,10560
Motor Vehicle Theft ,98,52,56,39,39,30,34,122,83,80,54,59,34,8,3,3,794
Counterfeiting/Forgery ,76,99,137,106,102,100,89,528,305,237,193,140,79,29,46,11,2277
False Pretenses/Swindle/Confidence Game ,88,111,135,118,106,114,104,566,423,378,309,225,133,68,25,19,2922
Credit Card/Automatic Teller Machine Fraud ,28,34,16,29,24,24,17,68,69,32,35,26,7,6,2,0,417
Impersonation ,20,55,64,32,30,20,26,113,69,46,47,38,18,3,3,0,584
Welfare Fraud ,0,1,0,1,0,3,4,8,17,10,5,10,6,2,1,0,68
Wire Fraud ,1,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,7
Embezzlement ,96,102,101,89,68,60,60,273,187,202,137,138,87,43,14,8,1665
Stolen Property Offenses ,83,102,59,50,35,40,35,149,79,85,65,50,34,14,11,2,893
Destruct/Damage/Vandalism ,355,282,240,216,180,164,142,578,383,274,258,217,136,57,21,26,3529
Drug/Narcotic Violations ,2536,2626,2182,1932,1748,1615,1406,5438,3168,2183,1774,1527,972,424,177,76,29784
Drug Equipment Violations ,18,12,18,16,9,14,11,54,39,32,26,26,8,4,2,1,290
Incest,0,0,1,0,0,0,0,2,0,1,3,1,0,1,0,0,9
Statutory Rape ,28,14,13,9,4,12,5,15,6,6,2,0,1,0,1,0,116
Porno./Obscene Material ,11,6,1,1,3,4,6,16,13,14,8,15,5,4,2,4,113
Betting/Wagering ,2,1,3,0,2,1,0,11,4,6,5,5,1,5,2,2,50
Operating/Promoting/Assisting Gambling ,1,0,0,0,0,2,0,8,6,5,5,3,3,1,2,7,43
Gambling Equip. Violations ,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,4
Sports Tampering ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Prostitution ,11,21,23,29,21,24,22,130,109,112,100,81,30,15,7,6,741
Assisting/Promoting Prostitution ,1,2,6,5,6,9,5,29,23,19,25,15,11,3,3,2,164
Bribery,0,0,0,1,2,1,1,4,1,2,0,1,0,0,0,0,13
Weapon Law Violations ,209,199,205,221,204,207,204,669,337,284,233,231,170,121,91,93,3678
Total,8633,8202,7200,6605,5831,5422,5007,20677,13656,11089,9869,8383,5044,2405,1199,936,120158
