Locality,Court,Circuit Court Clerks Collected FY02,Circuit Court Clerks Collected FY03,Variance FY02 vs 03,Percent Variance FY02 vs 03,Commonwealth's Attorneys Collected FY02,Commonwealth's Attorneys Collected FY03,Variance FY02 vs 03,Percent Variance FY02 vs 03,Collection Agent
ACCOMACK,CIRCUIT,256045.04,264917.76,8872.72,3.35,44516.67,41522.16,02994.51,07.21,Taxation
ACCOMACK,GENERAL DISTRICT,800287.52,895595.23,95307.71,10.64,180613.02,169857.69,010755.33,06.33,
ACCOMACK,JUVENILE,31100.86,25531.86,05569.00,021.81,7037.87,10410.09,3372.22,32.39,
ACCOMACK,COMBINED,0,0,0,0.00,0,0,0,0.00,
ALBEMARLE,CIRCUIT,408681.81,1507694.34,1099012.53,72.89,50911.50,60149.61,9238.11,15.36,Taxation
ALBEMARLE,GENERAL DISTRICT,959165.29,1163740.40,204575.11,17.58,121165.27,118593.34,02571.93,02.17,
ALBEMARLE,JUVENILE,45760.45,61288.39,15527.94,25.34,9773.16,7709.19,02063.97,026.77,
ALBEMARLE,COMBINED,0,0,0,0.00,0,0,0,0.00,
ALLEGHANY,CIRCUIT,145526.41,186080.99,40554.58,21.79,23443.17,23727.49,284.32,1.20,Taxation
ALLEGHANY,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
ALLEGHANY,JUVENILE,0,0,0,0.00,0,0,0,0.00,
ALLEGHANY,COMBINED,518694.76,719020.30,200325.54,27.86,70713.07,74803.10,4090.03,5.47,
AMELIA,CIRCUIT,45325.45,45058.41,0267.04,00.59,31124.13,25013.45,06110.68,024.43,Taxation
AMELIA,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
AMELIA,JUVENILE,0,0,0,0.00,0,0,0,0.00,
AMELIA,COMBINED,208729.64,322857.11,114127.47,35.35,40426.94,52517.06,12090.12,23.02,
AMHERST,CIRCUIT,194388.58,219477.31,25088.73,11.43,42390.93,32348.59,010042.34,031.04,Taxation
AMHERST,GENERAL DISTRICT,477202.46,552187.30,74984.84,13.58,98283.31,103917.59,5634.28,5.42,
AMHERST,JUVENILE,36326.70,34434.16,01892.54,05.50,7045.36,11411.89,4366.53,38.26,
AMHERST,COMBINED,0,0,0,0.00,0,0,0,0.00,
APPOMATTOX,CIRCUIT,75615.19,91107.23,15492.04,17.00,9199.29,9865.61,666.32,6.75,Taxation
APPOMATTOX,GENERAL DISTRICT,237801.02,359192.32,121391.30,33.80,27297.62,36920.86,9623.24,26.06,
APPOMATTOX,JUVENILE,8993.71,7915.10,01078.61,013.63,3363.09,2448.01,0915.08,037.38,
APPOMATTOX,COMBINED,0,0,0,0.00,0,0,0,0.00,
ARLINGTON\FALLS CH,CIRCUIT,1667858.80,1918687.07,250828.27,13.07,394564.19,367243.47,027320.72,07.44,Taxation
ARLINGTON\FALLS CH,GENERAL DISTRICT,4900226.58,5843947.01,943720.43,16.15,564501.91,612583.81,48081.90,7.85,
ARLINGTON\FALLS CH,JUVENILE,70279.48,89432.82,19153.34,21.42,14205.91,18116.96,3911.05,21.59,
ARLINGTON\FALLS CH,COMBINED,0,0,0,0.00,45718.33,45295.59,0422.74,00.93,
AUGUSTA,CIRCUIT,355709.62,416894.62,61185.00,14.68,388648.23,31890.50,0356757.73,01118.70,Taxation
AUGUSTA,GENERAL DISTRICT,903885.58,1122389.62,218504.04,19.47,1014199.68,113603.36,0900596.32,0792.76,
AUGUSTA,JUVENILE,43683.71,62207.45,18523.74,29.78,53842.09,12774.82,041067.27,0321.47,
AUGUSTA,COMBINED,0,0,0,0.00,1456690.00,0,01456690.00,0.00,
BATH,CIRCUIT,19817.11,22135.08,2317.97,10.47,5318.54,2463.99,02854.55,0115.85,Taxation
BATH,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
BATH,JUVENILE,0,0,0,0.00,0,0,0,0.00,
BATH,COMBINED,92351.27,93677.95,1326.68,1.42,3745.42,4612.63,867.21,18.80,
BEDFORD,CIRCUIT,571786.49,565633.34,06153.15,01.09,58915.16,62544.36,3629.20,5.80,Taxation
BEDFORD,GENERAL DISTRICT,749099.07,907809.47,158710.40,17.48,103757.89,103816.47,58.58,0.06,
BEDFORD,JUVENILE,41695.76,48004.27,6308.51,13.14,8207.65,8617.55,409.9,4.76,
BEDFORD,COMBINED,0,0,0,0.00,0,0,0,0.00,
BLAND,CIRCUIT,105406.14,177119.76,71713.62,40.49,7731.70,3208.15,04523.55,0141.00,Taxation
BLAND,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
BLAND,JUVENILE,0,0,0,0.00,0,0,0,0.00,
BLAND,COMBINED,489395.92,759955.84,270559.92,35.60,41138.40,43958.29,2819.89,6.41,
BOTETOURT,CIRCUIT,291399.49,349149.22,57749.73,16.54,49500.02,48751.72,0748.3,01.53,In house
BOTETOURT,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
BOTETOURT,JUVENILE,0,0,0,0.00,0,0,0,0.00,
BOTETOURT,COMBINED,956440.75,1338755.10,382314.35,28.56,94962.98,85498.28,09464.70,011.07,
BRUNSWICK,CIRCUIT,264531.60,435714.22,171182.62,39.29,24954.31,40200.04,15245.73,37.92,Taxation
BRUNSWICK,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
BRUNSWICK,JUVENILE,0,0,0,0.00,0,0,0,0.00,
BRUNSWICK,COMBINED,901988.42,1473310.83,571322.41,38.78,157961.05,162485.31,4524.26,2.78,
BUCHANAN,CIRCUIT,117769.48,112287.08,05482.40,04.88,42602.86,63633.16,21030.30,33.05,Taxation
BUCHANAN,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
BUCHANAN,JUVENILE,0,0,0,0.00,0,0,0,0.00,
BUCHANAN,COMBINED,275978.33,348084.96,72106.63,20.72,60917.17,71048.39,10131.22,14.26,
BUCKINGHAM,CIRCUIT,47238.88,54997.73,7758.85,14.11,17596.03,11394.64,06201.39,054.42,Taxation
BUCKINGHAM,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
BUCKINGHAM,JUVENILE,0,0,0,0.00,0,0,0,0.00,
BUCKINGHAM,COMBINED,167644.31,221022.55,53378.24,24.15,26961.86,24070.99,02890.87,012.01,
CAMPBELL,CIRCUIT,261828.99,252588.18,09240.81,03.66,95274.54,77695.74,017578.80,022.63,Taxation
CAMPBELL,GENERAL DISTRICT,528769.04,670540.64,141771.60,21.14,74416.16,78163.63,3747.47,4.79,
CAMPBELL,JUVENILE,42141.82,48351.27,6209.45,12.84,11512.14,12568.13,1055.99,8.40,
CAMPBELL,COMBINED,0,0,0,0.00,0,0,0,0.00,
CAROLINE,CIRCUIT,504022.08,828721.67,324699.59,39.18,28932.12,33855.47,4923.35,14.54,Taxation
CAROLINE,GENERAL DISTRICT,1328068.72,1723660.09,395591.37,22.95,176970.49,191942.74,14972.25,7.80,
CAROLINE,JUVENILE,28339.24,29618.95,1279.71,4.32,11392.35,10423.91,0968.44,09.29,
CAROLINE,COMBINED,0,0,0,0.00,65664.94,0,065664.94,0.00,
CARROLL,CIRCUIT,181279.15,200700.68,19421.53,9.68,14310.66,14767.28,456.62,3.09,E0Recovery Solutions
CARROLL,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
CARROLL,JUVENILE,0,0,0,0.00,0,0,0,0.00,
CARROLL,COMBINED,610127.50,833871.45,223743.95,26.83,65664.94,55926.36,09738.58,0134.83,
