Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter ,0,0,4,3,1,4,12
Negligent Manslaughter ,0,0,0,0,0,0,0
Kidnaping/Abduction ,0,1,2,5,7,5,20
Forcible Rape ,0,5,14,8,11,10,48
Forcible Sodomy ,0,6,24,10,9,4,53
Sexual Assault with an Object ,2,4,6,2,2,1,17
Forcible Fondling ,0,14,55,12,20,15,116
Robbery ,0,4,69,84,98,122,377
Aggravated Assault ,0,45,98,65,109,130,447
Simple Assault ,41,536,1246,847,912,963,4545
Intimidation ,3,15,66,34,32,35,185
Arson ,8,20,52,22,22,11,135
Extortion/Blackmail ,0,0,4,7,3,3,17
Burglary/Breaking & Entering ,12,53,174,174,234,245,892
Pocket Picking ,0,3,11,6,9,5,34
Purse Snatching ,0,0,0,0,0,1,1
Shoplifting ,6,112,449,452,601,687,2307
Theft from Building ,0,7,32,43,36,32,150
Theft from Coin-Operated Device ,0,0,0,0,0,0,0
Theft from Motor Vehicle ,0,10,14,32,40,33,129
Theft of Motor Vehicle Parts ,0,0,1,5,10,3,19
All Other Larceny ,11,127,443,443,565,610,2199
Motor Vehicle Theft ,2,1,27,44,55,55,184
Counterfeiting/Forgery ,0,0,3,7,13,26,49
False Pretenses/Swindle/Confidence Game ,0,2,14,13,22,36,87
Credit Card/Teller Machine Fraud ,0,0,7,7,4,10,28
Impersonation ,0,0,6,8,11,11,36
Welfare Fraud ,0,0,0,0,0,0,0
Wire Fraud ,0,0,0,0,0,0,0
