Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
Crack Cocaine ,0,0,0,0,6,12,36,61,67,74,86,85,69,411,314,207,182,219,132,75,30,8,2074
Cocaine ,0,0,1,0,3,9,38,54,80,94,79,95,96,485,370,282,216,171,135,50,29,11,2298
Hashish ,0,0,0,0,0,1,2,2,2,2,2,1,0,2,1,1,2,1,0,0,0,0,19
Heroin ,0,0,1,0,1,3,16,24,27,33,49,40,40,210,160,89,75,57,37,40,21,3,926
Marijuana ,1,20,265,369,551,972,2194,2204,2034,1686,1426,1224,1079,3468,1913,1005,762,636,397,213,94,34,22547
Morphine ,0,0,1,0,4,2,2,6,2,5,4,4,6,21,16,21,7,23,9,3,2,0,138
Opium ,0,0,0,0,0,0,1,1,4,1,5,1,2,13,11,12,6,4,2,0,0,2,65
Other Narcotic ,2,2,8,17,14,17,49,56,53,69,79,79,65,327,282,235,168,144,105,47,19,13,1850
LSD ,0,0,0,0,0,0,3,2,2,3,1,4,0,5,0,0,0,0,0,0,0,0,20
PCP ,0,0,1,0,0,0,1,1,4,1,4,3,7,26,19,16,10,3,2,1,0,0,99
Other Hallucinogens,0,0,1,0,1,1,7,6,7,11,6,4,4,15,6,8,5,9,1,2,0,0,94
Amphetamines/Methamphetamines ,0,0,0,2,4,0,17,18,26,23,30,23,26,128,114,90,65,45,25,14,4,3,657
Other Stimulants ,0,0,4,3,5,6,7,6,10,8,9,3,4,13,9,5,2,1,1,0,1,1,98
Barbiturates ,0,0,0,0,0,1,0,2,1,1,3,2,3,6,7,6,2,4,4,0,1,0,43
Other Depressants ,0,2,0,4,0,4,5,6,11,13,7,7,7,44,27,17,14,11,11,7,1,0,198
Other Drugs ,0,8,14,12,15,22,37,47,49,53,40,47,39,177,118,123,66,58,52,19,14,5,1015
Unknown Drug Type ,0,1,38,60,90,151,272,282,265,246,250,199,178,799,455,303,242,182,142,76,26,10,4267
TOTAL ,3,33,334,467,694,1201,2687,2778,2644,2323,2080,1821,1625,6150,3822,2420,1824,1568,1055,547,242,90,36408
