COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD ,100780,3800.35,3830,1,9,22,37,22,65,1039,12,2,230,1404,52,44,313,28,7,866,423,9,13,0,3,0,57
State Police,,,51,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,38,0,0,0,0,0,1
Arlington County PD ,214373,3322.71,7123,0,23,23,80,135,170,819,7,0,251,3445,177,152,818,56,60,927,557,1,5,1,10,2,48
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD ,319641,5351.62,17106,8,33,36,199,146,198,6230,59,2,1515,5123,246,242,1517,107,65,3475,1806,5,31,0,71,2,420
State Police,,,195,0,0,0,0,0,2,5,0,0,0,11,4,3,15,0,1,0,178,0,0,0,0,0,10
Fairfax County PD ,1057044,3346.59,35375,11,130,94,225,423,387,7289,73,10,1018,13329,871,398,2476,260,80,7770,4809,8,79,28,78,1,531
State Police,,,248,0,0,1,4,0,14,10,0,0,0,21,5,6,48,0,9,5,128,0,0,0,0,0,6
Henrico County PD ,310742,5038.58,15657,10,76,31,24,232,163,3220,94,5,1280,6086,381,236,1013,120,60,2873,1302,1,2,15,136,2,266
State Police,,,118,0,0,0,0,1,2,2,0,0,0,7,1,9,13,0,0,0,93,0,0,0,0,0,13
James City County PD ,68874,3446.87,2374,2,28,20,36,16,43,758,17,2,162,793,25,49,194,24,5,471,157,1,7,0,0,1,49
State Police,,,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
Prince George County PD ,35828,3273.97,1173,0,2,6,19,4,27,294,0,2,86,341,21,15,90,3,7,244,136,6,5,1,0,0,17
State Police,,,25,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,22,0,0,0,0,0,0
Prince William County PD ,406374,4045.28,16439,3,62,45,178,181,311,3830,27,6,976,5772,395,263,1165,106,105,2411,1933,15,39,29,20,0,235
State Police,,,144,0,0,0,0,0,1,6,0,0,0,6,5,2,33,0,1,3,89,0,0,0,0,0,6
Roanoke County PD ,84589,3875.2,3278,0,19,20,43,12,66,1201,4,5,298,940,37,37,254,17,5,394,660,2,14,0,0,0,73
State Police,,,53,0,0,0,1,0,0,0,0,1,0,3,0,0,18,0,0,0,30,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
