Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10 ,2,63,1,,
10--12 ,2,92,15,1,
13--14 ,2,140,33,,
15,2,87,29,,
16,,83,35,1,
17,,81,58,,
18,,90,84,3,
19,,105,78,1,
20,,69,56,1,
21,,60,63,,
22,,48,63,,
23,,38,47,,
24,,42,52,,
25-29 ,2,152,199,6,
30-34 ,1,130,148,4,
35-39 ,1,67,99,1,
40-44 ,,60,134,2,
45-49 ,,40,91,1,
50-54 ,,37,51,4,
55-59 ,,13,32,1,
60-64 ,,16,15,1,
65 & Over ,,13,16,,
Unknown Age ,,14,138,1,64
TOTAL ,12,1540,1537,28,64
White ,11,1032,814,23,
Black ,1,468,667,4,
Am. Ind. or ,,,,,
Alaskan Native ,,2,1,,
Asian or ,,,,,
Pacific Islander ,,19,9,,
Unknown Race ,,19,46,1,64
TOTAL ,12,1540,1537,28,64
