Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,,,,,,
,F ,,,,,,
10--14,M ,,,,,,
,F ,,,,,,
15-19 ,M ,6,51,,,2,59
,F ,2,,,,,2
20-24 ,M ,13,55,,,,68
,F ,5,7,,,,12
,U ,,,,,1,1
25-29 ,M ,8,28,,1,,37
,F ,1,2,,,,3
30-34 ,M ,9,17,,,,26
,F ,4,3,,,,7
35-39 ,M ,8,8,,1,,17
,F ,2,1,,,,3
40-44 ,M ,7,9,,1,,17
,F ,1,1,,,,2
45-49 ,M ,4,3,,,,7
,F ,2,,,,,2
50-54 ,M ,13,7,,,,20
,F ,2,1,,,,3
55-59 ,M ,1,1,,1,,3
,F ,2,,,1,,3
60-64 ,M ,3,1,,,,4
,F ,1,,,,,1
65 & Over ,M ,5,1,,,,6
,F ,1,,,,,1
Unknown ,M ,1,20,,,1,22
,F ,,,,,,
,U ,,,,,29,29
,M ,78,201,,4,3,286
TOTAL ,F ,23,15,,1,,39
,Unknown ,,,,,30,30
