OTHER AGENCIES,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
"Alcoholic Beverage Control, Department of",,,134,0,0,0,0,0,0,0,0,0,0,28,0,19,31,2,0,0,54,0,0,1,0,0,5
"Capitol Police, Division of",,,68,0,0,0,1,1,0,10,0,0,0,25,0,1,1,1,1,24,3,0,0,0,0,0,1
"Conservation & Recreation, Department of",,,20,0,0,0,0,0,0,2,0,0,3,10,0,0,0,0,0,5,4,0,0,0,0,0,1
"Game & Inland Fisheries, Department of",,,508,0,0,0,0,0,6,2,1,0,1,8,1,4,29,0,1,6,193,0,0,0,0,0,289
"Motor Vehicles, Department of",,,739,0,0,0,0,0,0,0,0,1,0,21,48,411,228,74,29,1,1,0,0,0,0,3,0
Metropolitan Washington Airports Authority,,,845,0,0,0,1,0,0,43,0,0,0,306,44,19,10,2,4,147,31,0,0,0,0,0,249
Norfolk Airport Authority,,,62,0,0,0,0,0,0,1,0,0,0,43,0,1,0,0,0,10,3,0,0,0,0,0,4
Richmond International Airport,,,38,0,0,0,0,0,0,3,0,0,0,9,0,0,6,1,1,3,6,0,0,0,0,0,9
Southside Virginia Training Center,,,83,0,0,0,1,0,2,65,0,0,0,14,0,0,1,0,0,4,0,0,0,0,0,0,0
Virginia Port Authority,,,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
