Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,395
Common-Law Spouse,36
Parent,170
Sibling,251
Child,208
Grandparent,18
Grandchild,11
In-Law,40
Stepparent,21
Stepchild,30
Stepsibling,4
Other Family Member,204
Victim Was Offender,466
Acquaintance,2324
Friend,341
Neighbor,187
Babysittee (the baby),11
Boyfriend/Girlfriend,909
Child of Boyfriend/Girlfriend,45
Homosexual Relationship,29
Ex-Spouse,37
Employee,11
Employer,7
Otherwise Known,1070
Unknown Relationship,2598
Victim Was Stranger,1854
