Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,124
Common-Law Spouse,17
Parent,16
Sibling,9
Child,82
Grandparent,3
Grandchild,9
In-Law,3
Stepparent,2
Stepchild,3
Stepsibling,2
Other Family Member,33
Victim Was Offender,7
Acquaintance,234
Friend,48
Neighbor,7
Babysittee (the baby),0
Boyfriend/Girlfriend,392
Child of Boyfriend/Girlfriend,6
Homosexual Relationship,10
Ex-Spouse,24
Employee,0
Employer,2
Otherwise Known,127
Unknown Relationship,355
Victim Was Stranger,363
