Complaints/Reports Written,Total
Abduction,0
Annoying Phone Calls,0
Driving Under Suspension,0
Assault,3
Assist Other Jurisdiction,0
Rape/Attempted,0
Suspicious Circumstances,1
Traffic Issues,1
ECO,2
Embezzlement,1
Fraud/Forgery,12
Habitual Offender,0
Homicide/Death Investigation,1
Search Warrant,1
Informational Report/Field Contact,1
Drug/Narc/Equipt/Overdose,7
Larceny/Burglary/Shoplifting,19
Alcohol Related,6
Threats,1
Trespassing,1
Missing Person,0
Well Being Check,0
Property Damage,2
Total Criminal,59
