Reported/Complaints Incidents/Other,Total
Accidents,12
Domestic Calls,29
Animal Control,57
Deliver Message,3
Burglar Alarm Residence & Business,23
Building Checks,44
Community Policing,40
Follow Up,44
DOA/Death Inv/Suicide/Attempt,1
Keys Locked in Vehicle/Child Locked,13
Lookout,18
Loud Music/Loud Party/Noise Viol,12
Fight,5
Disturbance/Civil Disturbance,43
Request for K9,4
Investigate Unknown 911,29
Recovered Property,13
Well Being Check,17
Traffic,174
Runaway,3
Drug Overdose,2
Break & Entering in Progress,1
Total,587
