Offense,Arrests
First Quarter 2012,
Traffic,345
DUI's,15
Other charges,64
Narcotic charges,18
Total Initiated Arrest,442
Incident Reports,207
Supplements,49
Accidents Worked,30
Papers Served,704
Property Checks,"9,698"
Second Quarter 2012,
Traffic,293
DUI's,15
Other charges,130
Narcotic charges,14
Total Initiated Arrest,452
Incident Reports,169
Supplements,19
Accidents Worked,35
Papers Served,635
Property Checks,8957
Third Quarter 2012,
Traffic,206
DUI's,17
Other charges,73
Narcotic charges,26
Total Initiated Arrest,322
Incident Reports,166
Supplements,25
Accidents Worked,32
Papers Served,766
Property Checks,7945
Fourth Quarter 2012,
Traffic,201
DUI's,8
Other charges,54
Narcotic charges,22
Total Initiated Arrest,285
Incident Reports,157
Supplements,26
Accidents Worked,37
Papers Served,655
Property Checks,"8,905"
2012 Year Total,
Traffic,578
DUI's,226
Other charges,158
Narcotic charges,112
Total Initiated Arrest,1238
Incident Reports,827
Supplements,250
Accidents Worked,123
Papers Served,"2,142"
Property Checks,"27,255"
