ARRESTS,2008 ADULT,2009 ADULT,CHANGE ADULT,2008 JUVENILE,2009 JUVENILE,CHANGE JUVENILE,2008 TOTAL,2009 TOTAL,CHANGE TOTAL
HOMICIDE,,,,,,,,,
INTENTIONAL,3,4,33.3%,0,2,N/C,3,6,100.0%
SEX OFFENSE RAPE FORCIBLE,8,3,62.5%,0,0,N/C,8,3,-62.5%
ROBBERY,53,57,7.5%,49,37,-24.5%,102,94,-7.8%
AGGRAVATED ASSAULT,88,62,29.5%,22,9,-59.1%,110,71,-35.5%
BURGLARY,80,70,-12.5%,15,11,-26.7%,95,81,-14.7%
LARCENY (THEFT),498,472,-5.2%,151,162,7.3%,649,634,-2.3%
GLA,43,23,-46.5%,7,17,142.9%,50,40,-20.0%
OTHER ASSAULT,541,476,-12.0%,94,106,12.8%,635,582,-8.3%
ARSON,1,1,0.0%,0,2,N/C,1,3,200.0%
FORGERY & COUNTERFEIT,23,47,104.3%,3,1,-66.7%,26,48,84.6%
FRAUD,86,128,48.8%,1,2,100.0%,87,130,49.4%
EMBEZZELMENT,52,58,11.5%,13,5,-61.5%,65,63,-3.1%
STOLEN PROPERTY,6,13,116.7%,3,13,333.3%,9,26,188.9%
VANDALISM,136,122,-10.3%,23,26,13.0%,159,148,-6.9%
WEAPONS,31,22,-29.0%,13,11,-15.4%,44,33,-25.0%
PROSTITUTION,26,38,46.2%,0,0,N/C,26,38,46.2%
SEX OFFENSE OTHER,30,14,-53.3%,2,5,150.0%,32,19,-40.6%
DRUG ABUSE VIOLATION,409,427,4.4%,53,67,26.4%,462,494,6.9%
GAMBLING,28,13,-53.6%,4,2,-50.0%,32,15,-53.1%
D.W.I.,512,479,-6.4%,3,1,-66.7%,515,480,-6.8%
LIQUOR LAWS,654,655,0.2%,84,123,46.4%,738,778,5.4%
DRUNKENNESS,"1,040",782,-24.8%,5,9,80.0%,"1,045",791,-24.3%
DISORDERLY CONDUCT,183,174,-4.9%,16,20,25.0%,199,194,-2.5%
ALL OTHER OFFENSES,"1,801","1,898",5.4%,362,454,25.4%,"2,163","2,352",8.7%
TOTAL,"6,332","6,038",-4.6%,923,"1,085",17.6%,"7,255","7,123",-1.8%
