Offense,2013
DUI,193
DUI Test Refusal,44
Speeding (Radar),"2,274"
Reckless (Speeding),139
Reckless (General),58
Habitual Offender,4
Hit and Run,34
Following too Closely,120
Fail to Keep Proper Control,13
Improper Turn,15
Improper Lane Change,85
Fail to Obey Highway Sign,521
Fail to Obey Highway Signal,106
Fail to Yield,86
Fail to Obey Siren/Lights,22
Expired or No Operator’s License,475
Suspended Operator’s License,748
No Safety Restraint,213
No Insurance,135
Expired or No Inspection,759
Expired or No Registration,236
Expired or No License Plates,366
Improper Equipment,527
Fail to Dim Headlights,53
Expired or No Local Tag,28
Miscellaneous,247
TOTAL,"7,501"
