Name: “Table 1 of 1 on page 112 of 179”,Name: “Table 1 of 1 on page 112 of 179”,Name: “Table 1 of 1 on page 112 of 179”,Name: “Table 1 of 1 on page 112 of 179”,Name: “Table 1 of 1 on page 112 of 179”
Table: 112,Table: 112,Table: 112,Table: 112,Table: 112
,,,,
,,,,P a g e | 110
Gunshot Wound,867,628,90,149
Head/Neck,601,440,53,108
Chest,124,89,15,20
Abdomen,13,9,2,2
Torso,81,51,14,16
Extremities,4,3,1,0
Multiple,44,36,5,3
Blunt Force Injuries,1386,1103,51,232
Head/Neck,648,521,17,110
Chest,85,71,3,11
Abdomen,25,18,2,5
Torso,67,56,3,8
Extremities,140,133,3,4
Multiple,421,304,23,94
Penetrating Injuries,53,33,7,13
Incised,7,5,1,1
Stab,43,27,6,10
Other Penetrating Injuries,3,1,0,2
Substance Abuse,692,503,79,110
Ethanol Poisoning,22,1,0,21
Prescription Drug Poisoning,478,368,55,55
Illegal (Street) Drug Poisoning,84,47,14,23
Mixed Category Drug Poisoning,85,69,8,8
Inhalant Poisoning,4,4,0,0
OTC Poisoning,14,10,2,2
Ethylene Glycol Poisoning,3,3,0,0
Not Otherwise Specified Poisoning,2,1,0,1
Other Unnatural Deaths,13,13,13,13
Other Unnatural,13,13,0,0
Unnatural Subtotal,3602,2716,273,613
,,,Ethanol,
,Total,No,0.01-0.07%,Ethanol
Undetermined Deaths,Cases,Ethanol,W/V,>0.08% W/V
Undetermined After Autopsy and/or Investigation,84,80,2,2
Sudden Unexpected Infant Death (SUID),60,59,1,0
Skeletal/Mummified Remains,9,8,0,1
Other Undetermined,15,13,1,1
Undetermined Subtotal,84,80,2,2
TOTAL,5570,4430,423,717
Virginia Department of Health,Office of the Chief Medical Examiner,,,December 2011
