Name: “Table 1 of 1 on page 124 of 179”,Name: “Table 1 of 1 on page 124 of 179”,Name: “Table 1 of 1 on page 124 of 179”,Name: “Table 1 of 1 on page 124 of 179”,Name: “Table 1 of 1 on page 124 of 179”
Table: 124,Table: 124,Table: 124,Table: 124,Table: 124
,,,,
,,,,P a g e | 122
"Table 34. Undetermined Deaths by Cause of Death by Ethanol Level, 2010","Table 34. Undetermined Deaths by Cause of Death by Ethanol Level, 2010","Table 34. Undetermined Deaths by Cause of Death by Ethanol Level, 2010","Table 34. Undetermined Deaths by Cause of Death by Ethanol Level, 2010",
,,,Ethanol,Ethanol
,Total,No,0.01-0.07%,≥0.08%
,Cases,Ethanol,W/V,W/V
Undetermined Manner & Cause of Death,,,,
Undetermined after autopsy and/or toxicology,82,78,2,2
Subtotal for Undetermined Manner & Cause of Death,82,78,2,2
Undetermined Manner but Cause of Death Determined,,,,
Asphyxia,,,,
Drowning,3,1,0,2
Other asphyxia,1,1,0,0
Drug Use,,,,
"Ingested and/or injected illicit, prescription,",,,,
and/or OTC medication,26,20,3,3
Fire,,,,
Thermal burns and/or inhalation of,,,,
combustions products,6,4,0,2
Motor Vehicle,,,,
Bicycle,1,1,0,0
Car,1,0,0,1
Dump Truck,1,1,0,0
Pickup Truck,2,0,0,2
Poisoning,,,,
Carbon monoxide poisoning,2,2,0,0
Traumatic Injury,,,,
Fall,2,1,0,1
Gunshot Wound,8,7,0,1
Handgun,(6),(5),(0),(1)
Rifle,(1),(1),(0),(0)
Shotgun,(1),(1),(0),(0)
Other Traumatic Causes,16,12,1,3
Subtotal for Undetermined Manner but Cause of Death,,,,
Determined,69,50,4,15
Total,151,128,6,17
Virginia Department of Health,Office of the Chief Medical Examiner,,,December 2011
