Name: “Table 1 of 1 on page 110 of 179”,Name: “Table 1 of 1 on page 110 of 179”,Name: “Table 1 of 1 on page 110 of 179”,Name: “Table 1 of 1 on page 110 of 179”,Name: “Table 1 of 1 on page 110 of 179”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,
,,,,P a g e | 108
"Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2010","Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2010","Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2010","Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2010",
,,,Ethanol,
,Total,No,0.01-0.07%,Ethanol
Natural Deaths,Cases,Ethanol,W/V,>0.08% W/V
Pulmonary Diseases/Disorders,160,152,5,3
Asthma,5,4,0,1
COPD,23,19,3,1
Emboli,44,41,2,1
Pneumonia,63,63,0,0
Pulmonary Malignancy,20,20,0,0
Other Pulmonary Disease/Disorder,5,5,0,0
Central Nervous System Diseases/Disorders,100,94,4,2
Seizure Disorder,24,23,1,0
Vascular Disease,47,43,2,2
Degenerative Disease,9,9,0,0
Meningitis (Bacterial or Viral),3,3,0,0
CNS Malignancy,3,3,0,0
Other CNS Disease/Disorder,14,13,1,0
Cardiovascular Diseases/Disorders,1274,1109,102,63
Atherosclerosis,647,575,42,30
Hypertension,206,176,22,8
Atherosclerosis & Hypertension,204,173,20,11
Congenital Defect,14,14,0,0
Vascular Dissection/Ruptures,10,10,0,0
Valvular,14,11,2,1
Acute Coronary Insufficiency,98,81,11,6
Cardiac Dysrythmia of Undetermined Etiology,16,12,2,2
Cardiomyopathy NOS,24,21,1,2
Arrythmogenic Right Ventricular Dysplasia,4,4,0,0
Other Cardiac Disease/Disorder,37,32,2,3
Gastrointestinal Diseases/Disorders,70,64,4,2
GI Hemorrhage,17,14,2,1
Cirrhosis,10,10,0,0
Hepatitis,7,7,0,0
GI Malignancy,20,19,0,1
Other GI Disease/Disorder,16,14,2,0
Genitourinal Diseases/Disorders,16,16,0,0
Renal Disease,8,8,0,0
Genitourinal Malignancy,7,7,0,0
Other GU Disease/Disorder,1,1,0,0
Perinatal and Pediatric Diseases/Disorders,32,31,1,0
Maternal Complications,3,3,0,0
Fetal Complications,3,3,0,0
Sudden Infant Death Syndrome (SIDS),14,13,1,0
Other Perinatal or Pediatric Disorder,12,12,0,0
Virginia Department of Health,Office of the Chief Medical Examiner,,,December 2011
