Name: “Table 1 of 1 on page 132 of 179”,Name: “Table 1 of 1 on page 132 of 179”,Name: “Table 1 of 1 on page 132 of 179”,Name: “Table 1 of 1 on page 132 of 179”,Name: “Table 1 of 1 on page 132 of 179”,Name: “Table 1 of 1 on page 132 of 179”
Table: 132,Table: 132,Table: 132,Table: 132,Table: 132,Table: 132
,,,,,
,,,,,P a g e | 130
"Table 37. Motor Vehicle Deaths by County of Residence, 2010","Table 37. Motor Vehicle Deaths by County of Residence, 2010","Table 37. Motor Vehicle Deaths by County of Residence, 2010","Table 37. Motor Vehicle Deaths by County of Residence, 2010",,
County/City of Residency,Total,Rate,County/City of Residency,Total,Rate
Accomack,6,18.1,Fluvanna,0,0.0
Albemarle,11,11.1,Franklin City,1,11.7
Alexandria,3,2.1,Franklin,11,19.6
Alleghany,0,0.0,Frederick,9,11.5
Amelia,1,7.9,Fredericksburg,2,8.2
Amherst,1,3.1,Galax,0,0.0
Appomattox,4,26.7,Giles,1,5.8
Arlington,5,2.4,Gloucester,10,27.1
Augusta,6,8.1,Goochland,6,27.6
Bath,1,21.1,Grayson,2,12.9
Bedford City,3,48.2,Greene,2,10.9
Bedford,9,13.1,Greensville,2,16.3
Bland,2,29.3,Halifax,6,16.6
Botetourt,4,12.1,Hampton,10,7.3
Bristol,0,0.0,Hanover,8,8.0
Brunswick,5,28.7,Harrisonburg,0,0.0
Buchanan,3,12.4,Henrico,25,8.1
Buckingham,2,11.7,Henry,10,18.5
Buena Vista,0,0.0,Highland,1,43.1
Campbell,9,16.4,Hopewell,4,17.7
Caroline,6,21.0,Isle of Wight,10,28.4
Carroll,2,6.7,James City,9,13.4
Charles City,1,13.8,King and Queen,1,14.4
Charlotte,4,31.8,King George,1,4.2
Charlottesville,7,16.1,King William,2,12.6
Chesapeake,11,5.0,Lancaster,3,26.3
Chesterfield,25,7.9,Lee,3,11.7
Clarke,3,21.4,Lexington,1,14.2
Colonial Heights,2,11.5,Loudoun,13,4.2
Covington,0,0.0,Louisa,4,12.1
Craig,0,0.0,Lunenburg,4,31.0
Culpeper,7,15.0,Lynchburg,9,11.9
Cumberland,1,9.9,Madison,3,22.5
Danville,3,7.0,Manassas,0,0.0
Dickenson,1,6.3,Martinsville,2,14.5
Dinwiddie,5,17.9,Mathews,3,33.4
Emporia,1,16.9,Mecklenburg,4,12.2
Essex,1,9.0,Middlesex,2,18.2
Fairfax City,3,13.3,Montgomery,7,7.4
Fairfax,39,3.6,Nelson,3,20.0
Falls Church,0,0.0,New Kent,4,21.7
Fauquier,11,16.9,Newport News,14,7.7
Floyd,2,13.1,Norfolk,7,2.9
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,December 2011
