Name: “Table 1 of 1 on page 165 of 179”,Name: “Table 1 of 1 on page 165 of 179”,Name: “Table 1 of 1 on page 165 of 179”,Name: “Table 1 of 1 on page 165 of 179”,Name: “Table 1 of 1 on page 165 of 179”
Table: 165,Table: 165,Table: 165,Table: 165,Table: 165
,,,,
,,,,P a g e | 163
SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=148),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=148),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=148),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=148),
"Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other"
"correctional institution, or in police custody. The OCME took jurisdiction of 148 prisoners in 2010.","correctional institution, or in police custody. The OCME took jurisdiction of 148 prisoners in 2010.","correctional institution, or in police custody. The OCME took jurisdiction of 148 prisoners in 2010.","correctional institution, or in police custody. The OCME took jurisdiction of 148 prisoners in 2010.","correctional institution, or in police custody. The OCME took jurisdiction of 148 prisoners in 2010."
•,The majority (77.7%) of prisoner cases were natural,The majority (77.7%) of prisoner cases were natural,,
•,The vast majority of cases were males (94.6%) and blacks and white had similar percentages of cases,The vast majority of cases were males (94.6%) and blacks and white had similar percentages of cases,The vast majority of cases were males (94.6%) and blacks and white had similar percentages of cases,The vast majority of cases were males (94.6%) and blacks and white had similar percentages of cases
,"(50.0% versus 49.3%, respectively)",,,
,"Figure 102. Prisoner Deaths by Manner, 2010","Figure 102. Prisoner Deaths by Manner, 2010","Figure 102. Prisoner Deaths by Manner, 2010",
,Suicide,Undetermined,Accident,
,8%,1%,8%,Homicide
,,,,5%
,Natural,,,
,78%,,,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,December 2011
