Date ,Report Type ,Street ,Sub-Division
2/6/2005,DEAD ON ARRIVAL ,ACORN LANE ,GLEN LAUREL
1/3/2005,CITIZEN REQUESTED ASSISTANCE ,ALICE COURT ,WILLOW LAKES
7/5/2005,"BURGLARY, RESIDENTIAL ",ALICE COURT ,WILLOW LAKES
8/25/2005,ROBBERY ,ALICE COURT ,WILLOW LAKES
3/4/2005,"ASSAULT, SIMPLE, DOMESTIC ",ALLENS MILL ROAD ,GRAFTON
3/7/2005,VIOLATE PROTECTIVE ORDERS ,ALLENS MILL ROAD ,GRAFTON
8/27/2005,"DAMAGE PROPERTY, PRIVATE ",ALLENS MILL ROAD ,GRAFTON
12/2/2005,PETIT LARCENY ,ALLENS MILL ROAD ,GRAFTON
12/25/2005,DRUNK IN PUBLIC ,ALLENS MILL ROAD ,GRAFTON
1/13/2005,CREDIT CARD FRAUD ,AMORY LANE ,GRAFTON
7/1/2005,CREDIT CARD FRAUD ,AMORY LANE ,GRAFTON
10/3/2005,GRAND LARCENY ,ANCHOR DRIVE ,SHIP POINT HOMES
10/15/2005,GRAND LARCENY ,ANCHOR DRIVE ,SHIP POINT HOMES
12/14/2005,"BURGLARY, RESIDENTIAL ",ANCHOR LANE ,SHIP POINT HOMES
12/14/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,ANCHOR LANE ,SHIP POINT HOMES
1/25/2005,"DAMAGE PROPERTY, PRIVATE ",ARCADIA LOOP ,CLAIRMONT APTS
2/12/2005,CITIZEN REQUESTED ASSISTANCE ,ARCADIA LOOP ,CLAIRMONT APTS
2/16/2005,"DAMAGE PROPERTY, PRIVATE ",ARCADIA LOOP ,CLAIRMONT APTS
2/17/2005,"DAMAGE PROPERTY, BUSINESS ",ARCADIA LOOP ,CLAIRMONT APTS
3/25/2005,"ASSAULT, SIMPLE ",ARCADIA LOOP ,CLAIRMONT APTS
3/26/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,ARCADIA LOOP ,CLAIRMONT APTS
3/26/2005,REFUSE BLOOD/BREATH TEST ,ARCADIA LOOP ,CLAIRMONT APTS
3/31/2005,"ASSAULT, SIMPLE, DOMESTIC ",ARCADIA LOOP ,CLAIRMONT APTS
3/31/2005,BRANDISHING FIREARM ,ARCADIA LOOP ,CLAIRMONT APTS
3/31/2005,"DAMAGE PROPERTY, PRIVATE ",ARCADIA LOOP ,CLAIRMONT APTS
8/2/2005,CREDIT CARD THEFT ,ARCADIA LOOP ,CLAIRMONT APTS
8/9/2005,PETIT LARCENY ,ARCADIA LOOP ,CLAIRMONT APTS
9/21/2005,"DAMAGE PROPERTY, PRIVATE ",ARCADIA LOOP ,CLAIRMONT APTS
10/1/2005,VIOLATE PROTECTIVE ORDERS ,ARCADIA LOOP ,CLAIRMONT APTS
10/15/2005,CITIZEN REQUESTED ASSISTANCE ,ARCADIA LOOP ,CLAIRMONT APTS
11/15/2005,CITIZEN REQUESTED ASSISTANCE ,ARCADIA LOOP ,CLAIRMONT APTS
8/12/2005,ANNOYING PHONE CALLS ,ARTILLERY ROAD ,MARLBANK FARMS
10/13/2005,CONTRIBUTING TO THE DELINQUENCY OF A MINOR ,ARTILLERY ROAD ,MARLBANK FARMS
