Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,0,2,8,24,50,49,197,224,233,319,217,200,206,834,605,666,761,569,286,119,33,21,5623
Cocaine ,0,0,6,10,21,29,96,151,147,154,143,151,159,622,386,378,353,270,122,55,11,7,3271
Hashish ,0,0,0,0,1,0,0,1,2,0,0,1,0,4,0,2,1,0,1,0,0,0,13
Heroin ,0,0,0,1,0,2,14,19,16,16,26,26,24,135,94,78,91,65,43,24,3,1,678
Marijuana ,1,27,273,365,625,828,1591,1715,1407,1227,990,867,724,2455,1111,791,684,511,235,84,39,19,16569
Morphine ,0,0,0,1,1,2,0,4,2,3,4,3,2,9,10,11,2,3,6,3,1,3,70
Opium ,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,2,3,1,0,0,0,13
Other Narcotic ,0,6,8,8,9,11,23,21,25,17,20,19,24,127,92,106,76,52,37,18,9,13,721
LSD ,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4
PCP ,0,0,2,0,0,0,0,1,2,1,0,2,2,8,2,2,2,1,0,0,0,0,25
Other Halucinogens ,0,0,1,0,0,4,2,2,2,3,5,3,2,4,4,1,1,0,0,0,0,0,34
Amphetamines/ Methamphetamines ,0,2,8,2,5,5,14,16,22,19,24,16,24,103,71,114,55,33,17,12,4,1,567
Other Stimulants ,0,0,4,5,1,2,2,4,1,3,1,2,4,13,11,24,5,2,1,0,0,0,85
Barbituates ,0,0,2,0,0,0,0,1,1,1,0,2,0,2,4,2,0,2,0,2,0,0,19
Other Depressants ,0,0,2,3,1,1,4,3,7,6,3,5,4,13,14,13,12,4,5,1,1,1,103
Other Drugs ,0,4,11,8,14,8,17,11,11,16,16,12,14,77,50,70,34,21,10,2,3,11,420
Unknown Drug Type ,1,5,26,49,83,139,236,254,224,191,209,162,169,563,350,337,317,257,134,56,13,10,3785
TOTAL ,2,46,351,476,811,1081,2196,2427,2103,1976,1660,1471,1359,4970,2806,2598,2396,1793,898,376,117,87,32000
