Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter,264,80,183,,1
Negligent Manslaughter,6,4,2,,
Kidnapping,902,412,485,1,4
Forcible Rape,386,201,182,1,2
Forcible Sodomy,210,126,84,,
Sexual Assault with an Object,75,57,18,,
Forcible Fondling,705,455,243,1,6
Robbery,2139,631,1497,,11
Aggravated Assault,4939,2365,2539,4,31
Simple Assault,34582,18624,15666,34,258
Intimidation,1726,1009,708,1,8
Arson,397,274,121,,2
Extortion/Blackmail,57,28,28,,1
Burglary/Breaking & Entering,4304,2482,1793,5,24
Pocket-picking,218,128,90,,
Purse-snatching,25,17,8,,
Shoplifting,8387,4569,3739,5,74
Theft from Building,673,413,255,1,4
Theft from Coin-Operated Machine or Device,51,31,20,,
Theft from Motor Vehicle,469,327,141,,1
Theft of Motor Vehicle Parts or Accessories,122,70,52,,
All Other Larceny,10387,5804,4511,8,64
Motor Vehicle Theft,1179,587,586,2,4
Counterfeiting/Forgery,2393,1574,806,3,10
False Pretenses/Swindle/Confidence Game,2460,1432,1007,2,19
Credit Card/Automatic Teller Machine Fraud,452,273,175,,4
Impersonation,500,253,240,,7
Welfare Fraud,44,23,21,,
Wire Fraud,6,3,3,,
Embezzlement,1752,943,792,1,16
Stolen Property Offenses,989,428,551,1,9
Destruction/Damage/Vandalism of Property,4769,3011,1732,3,23
Drug/Narcotic Violations,32000,15734,16134,10,122
Drug Equipment Violations,340,241,96,2,1
Incest,14,13,1,,
Statutory Rape,125,81,44,,
Pornography/Obscene Material,88,73,14,,1
Betting/Wagering,82,48,31,,3
Operating/Promoting/Assisting Gambling,23,17,5,,1
Gambling Equipment Violations,2,1,1,,
Sports Tampering,9,9,,,
Prostitution,677,334,336,,7
Assisting or Promoting Prostitution,95,51,40,,4
Bribery,11,10,1,,
Weapon Law Violations,4078,1717,2340,3,18
TOTAL,123112,64963,57321,88,740
