Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff’s Office,60,43,17,7
Chincoteague PD,10,10,0,4
Onancock PD,4,4,0,0
Parksley PD,3,3,0,0
Onley PD,3,3,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,113,101,12,23
ALLEGHANY COUNTY,,,,
Sheriff’s Office,43,39,4,16
AMELIA COUNTY,,,,
Sheriff’s Office,12,12,0,8
AMHERST COUNTY,,,,
Sheriff’s Office,63,48,15,6
Amherst PD,5,4,1,0
APPOMATTOX COUNTY,,,,
Sheriff’s Office,29,23,6,3
ARLINGTON COUNTY,,,,
Arlington PD,365,302,63,85
AUGUSTA COUNY,,,,
Sheriff’s Office,68,66,2,11
BATH COUNTY,,,,
Sheriff’s Office,18,14,4,0
BEDFORD COUNTY,,,,
Sheriff’s Office,71,60,11,2
BLAND COUNTY,,,,
Sheriff’s Office,10,10,0,7
BOTETOURT COUNTY,,,,
Sheriff’s Office,66,60,6,17
BRUNSWICK COUNTY,,,,
Sheriff’s Office,35,31,4,12
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff’s Office,30,29,1,10
Grundy PD,6,6,0,0
BUCKINGHAM COUNTY,,,,
Sheriff’s Office,18,18,0,7
CAMPBELL COUNTY,,,,
Sheriff’s Office,54,51,3,3
Altavista PD,11,11,0,0
Brookneal PD,2,2,0,0
CAROLINE COUNTY,,,,
Sheriff’s Office,40,37,3,17
Bowling Green PD,0,0,0,0
CARROLL COUNTY,,,,
Sheriff’s Office,29,28,1,6
Hillsville PD,11,11,0,1
CHARLES CITY COUNTY,,,,
Sheriff’s Office,10,9,1,7
CHARLOTTE COUNTY,,,,
Sheriff’s Office,33,24,9,3
CHESTERFIELD COUNTY,,,,
Chesterfield PD,463,417,46,102
CLARKE COUNTY,,,,
Sheriff’s Office,17,16,1,12
Berryville PD,9,8,1,1
CRAIG COUNTY,,,,
Sheriff’s Office,7,7,0,5
CULPEPER COUNTY,,,,
Sheriff’s Office,78,59,19,16
Culpeper PD,41,36,5,8
CUMBERLAND COUNTY,,,,
Sheriff’s Office,16,14,2,7
DICKENSON COUNTY,,,,
Sheriff’s Office,19,17,2,2
Clintwood PD,3,3,0,0
Haysi PD,2,2,0,0
Clinchco,2,2,0,0
DINWIDDIE COUNTY,,,,
Sheriff’s Office,38,36,2,8
McKenney PD,1,1,0,0
