,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,20,26,13,13,14,16,16,45,24,20,11,8,7,5,1,5,244
Negligent Manslaughter,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,6
Kidnaping/Abduction,46,48,50,45,38,46,36,148,121,101,78,44,18,12,8,1,840
Forcible Rape,22,13,15,14,13,27,12,54,35,46,40,24,10,7,4,4,340
Forcible Sodomy,9,6,7,4,5,1,5,14,19,21,19,13,8,5,2,4,142
Sexual Assault with an Object,1,1,3,0,2,1,3,5,10,12,10,5,3,3,1,4,64
Forcible Fondling,23,21,17,13,18,21,9,64,70,55,71,55,39,20,14,30,540
Robbery,242,204,167,116,93,71,70,233,135,116,110,66,33,6,2,2,1666
Aggravated Assault,270,231,212,235,225,197,185,712,490,382,421,337,210,80,47,45,4279
Simple Assault,1085,1088,1178,1245,1258,1251,1165,5110,3919,3912,3551,2575,1343,674,269,301,29924
Intimidation,58,65,71,57,64,55,55,199,153,189,199,156,68,31,27,23,1470
Arson,18,22,15,12,7,4,10,15,17,16,20,17,10,10,4,0,197
Extortion/Blackmail,2,1,0,1,2,0,2,3,1,4,5,1,4,0,0,1,27
Burglary/B & E,402,280,230,173,168,121,109,522,312,311,238,160,72,28,6,5,3137
Pocket Picking,19,18,11,9,9,7,7,24,11,19,22,16,8,0,2,0,182
Purse Snatching,6,1,4,1,1,1,0,1,1,1,1,1,0,0,0,0,19
Shoplifting,575,491,398,341,271,235,193,852,619,666,637,498,290,157,71,75,6369
Theft from Building,43,44,27,18,19,15,16,75,50,62,49,34,21,10,6,0,489
Theft from Coin-Operated Machine or Device,9,3,4,2,2,4,3,3,8,4,5,0,1,0,0,0,48
Theft from Motor Vehicle,40,43,25,35,15,37,10,70,35,19,31,9,5,4,0,0,378
Theft of Motor Vehicle Parts,7,11,12,8,2,7,3,14,14,12,12,4,4,1,1,0,112
All Other Larceny,619,521,495,424,378,309,326,1246,943,969,854,678,363,155,55,39,8374
Motor Vehicle Theft,85,56,57,55,35,35,39,139,105,114,99,61,19,13,3,3,918
Counterfeiting/Forgery,76,97,126,114,89,109,99,549,326,303,208,122,62,32,15,2,2329
False Pretenses/Swindle/Confidence Game,72,81,86,106,97,107,85,399,363,300,303,176,114,65,19,14,2387
Credit Card/Automatic Teller Machine Fraud,24,31,34,23,30,22,14,69,47,53,44,13,14,2,1,0,421
Impersonation,21,33,65,29,27,22,12,87,66,52,43,21,10,2,1,0,491
Welfare Fraud,0,2,0,0,2,2,0,7,5,7,10,3,4,2,0,0,44
Wire Fraud,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,6
Embezzlement,163,145,121,101,88,81,60,242,161,153,156,75,44,24,10,5,1629
Stolen Property Offenses,87,75,65,51,38,37,36,142,74,69,66,35,28,13,6,2,824
Destruct/Damage/Vandalism,349,267,213,211,179,148,135,519,294,277,224,184,76,33,17,25,3151
Drug/Narcotic Violations,2196,2427,2103,1976,1660,1471,1359,4970,2806,2598,2396,1793,898,376,117,87,29233
Drug Equipment Violations,16,15,15,14,7,13,8,42,36,47,40,31,18,5,2,0,309
Incest,1,0,1,0,0,0,0,3,2,1,2,0,0,1,0,0,11
Statutory Rape,18,14,10,12,7,12,5,16,6,8,2,2,1,1,0,0,114
Porno./Obscene Material,1,4,3,4,5,5,4,18,9,11,8,2,4,3,4,1,86
Betting/Wagering,3,2,6,8,2,3,4,2,18,18,6,3,2,0,0,0,77
Operating/Promoting/Assisting Gambling,1,0,0,2,1,0,0,1,6,4,1,1,2,1,0,2,22
Gambling Equip. Violations,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Sports Tampering,0,0,0,0,0,0,0,1,2,5,0,0,0,1,0,0,9
Prostitution,9,9,13,23,19,23,27,104,103,141,104,53,33,13,2,1,677
Assisting/Promoting Prostitution,1,1,1,5,3,3,2,15,14,17,11,7,4,4,0,6,94
Bribery,0,1,1,1,0,1,0,4,1,0,0,1,0,0,0,1,11
Weapon Law Violations,280,267,222,276,248,214,158,523,282,221,208,184,124,83,44,47,3381
Total Group A Arrests,6920,6666,6097,5778,5141,4735,4284,17262,11715,11338,10315,7469,3975,1882,761,735,105073
