Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,1,3,5,6,5,20
Negligent Manslaughter,0,0,0,0,0,0,0
Kidnaping/Abduction,0,0,9,10,19,24,62
Forcible Rape,0,0,13,9,15,9,46
Forcible Sodomy,1,18,21,11,15,2,68
Sexual Assault with an Object,0,1,6,1,2,1,11
Forcible Fondling,5,29,66,23,19,23,165
Robbery,4,18,87,115,124,125,473
Aggravated Assault,11,36,175,117,150,171,660
Simple Assault,47,488,1405,947,905,866,4658
Intimidation,2,27,75,59,57,36,256
Arson,22,35,66,33,30,14,200
Extortion/Blackmail,0,6,11,6,3,4,30
Burglary/Breaking & Entering,4,66,258,289,274,276,1167
Pocket Picking,0,5,14,6,2,9,36
Purse Snatching,0,0,1,2,2,1,6
Shoplifting,10,174,541,429,395,469,2018
Theft from Building,1,12,58,38,36,39,184
Theft from Coin-Operated Device,0,0,1,1,0,1,3
Theft from Motor Vehicle,0,1,18,16,27,29,91
Theft of Motor Vehicle Parts,0,0,1,3,2,4,10
All Other Larceny,16,147,493,398,469,490,2013
Motor Vehicle Theft,0,10,54,66,53,78,261
Counterfeiting/Forgery,0,1,4,4,15,40,64
False Pretenses/Swindle/Confidence Game,0,2,11,13,23,24,73
Credit Card/Teller Machine Fraud,0,1,5,5,5,15,31
Impersonation,0,0,1,1,3,4,9
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
