Location,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Air/Bus/Train Terminal,0,16,3,1,0,10,22
Bank/Savings & Loan,0,3,1,0,1,1,288
Bar/Night Club,1,221,12,1,1,9,20
Church/Synagogue/Temple,1,12,1,4,1,16,14
Commercial/Office Building,1,59,4,10,5,44,100
Construction Site,0,23,1,1,1,3,8
Convenience Store,4,100,2,1,0,10,560
Department/Discount Store,2,43,1,1,2,16,121
Drug Store/Dr Office/Hospital,1,44,10,4,8,23,56
Field/Woods,16,157,63,20,7,51,117
Government/Public Building,0,58,7,15,2,22,21
Grocery/Supermarket,0,32,2,0,0,4,91
Highway/Road/Alley,103,2533,102,22,13,133,2432
Hotel/Motel/Etc.,5,141,78,19,11,37,215
Jail/Penitentiary,0,89,3,6,0,3,1
Lake/Waterway,2,5,5,4,1,6,4
Liquor Store,0,3,0,0,0,0,4
Parking Lot/Garage,30,819,54,10,4,46,1158
Rental/Storage Facility,1,7,1,0,0,0,5
Residence/Home,180,4975,1254,437,198,1663,1474
Restaurant,1,118,8,2,1,28,303
School/College,2,249,39,15,27,190,80
Service/Gas Station,2,35,1,0,2,4,225
Specialty Store,1,36,2,1,0,16,178
Other/Unknown,9,374,89,30,22,167,264
TOTAL,362,10152,1743,604,307,2502,7761
