Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,7,7,,,1,14
,F,5,2,,1,,8
,U,,,,,,
10--14,M,,3,,,,3
,F,,,,,,
,U,,,,,,
15-19,M,8,24,,,,32
,F,1,3,,,,4
,U,,,,,,
20-24,M,11,48,,1,,60
,F,5,8,,,,13
,U,,,,,,
25-29,M,9,28,,,,37
,F,7,4,,,,11
,U,,,,,,
30-34,M,13,19,,,1,33
,F,2,3,,,,5
,U,,,,,,
35-39,M,10,12,,1,,23
,F,4,3,,,,7
,U,,,,,,
40-44,M,12,15,,,,27
,F,3,7,,,,10
,U,,,,,,
45-49,M,11,9,,,,20
,F,4,5,,,,9
,U,,,,,1,1
50-54,M,7,8,,1,,16
,F,3,1,,,,4
,U,,,,,,
55-59,M,5,5,,,,10
,F,6,2,,,,8
,U,,,,,,
60-64,M,3,5,,,,8
,F,1,,,,,1
,U,,,,,,
65 & Over,M,6,9,,,,15
,F,3,4,,,,7
,U,,,,,,
Unknown,M,4,2,,,,6
,F,2,1,,,1,4
,U,1,,,,1,2
TOTAL,M,106,194,,3,1,304
,F,46,43,,1,1,91
,U,1,,,,2,3
