autoChalk Monthly Ticket Issuance,,,,,,
Month,8,9,10,11,12,Total
Warnings Issued,489,299,325,338,265,1716
$15 Tickets,36,59,88,87,84,354
$25 Tickets,5,19,26,29,37,116
$45 Tickets,3,16,26,44,37,126
Total,533,393,465,498,423,2312
Handwritten Monthly Ticket Issuance*,,,,,,
Month,08*,9,10,11,12,
Warnings Issued,N/A,4,3,5,7,19
$15 Tickets,N/A,160,159,153,192,664
$25 Tickets,N/A,480,345,350,169,1344
$40 Tickets,N/A,43,34,36,48,161
$100 Tickets,N/A,8,12,12,18,50
Total,435,695,553,556,434,2238
Grand Total,968,1088,1018,1054,857,4550
