OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,0,1,1,2,0,0,0,1,1,1,2,1,10
ABDUCTION/KIDNAPPING,2,4,3,4,2,0,4,1,1,1,1,2,25
FORCIBLE RAPE,0,1,0,3,3,1,1,0,0,3,0,0,12
OTHER FORCIBLE SEX OFFENSES,2,2,5,3,6,1,5,4,8,3,7,2,48
ROBBERY,15,7,12,14,16,18,12,11,11,17,7,8,148
AGGRAVATED ASSAULT,9,5,8,17,10,11,25,10,11,10,4,8,128
SIMPLE ASSAULT/INTIMIDATION,165,137,169,186,213,189,164,167,169,174,162,141,2036
ARSON,1,2,5,6,0,5,1,3,2,1,2,0,28
EXTORTION/BLACKMAIL,0,0,1,0,0,0,1,1,0,0,0,0,3
RESIDENTIAL BURGLARY,58,40,42,54,61,75,66,56,54,51,60,59,676
COMMERCIAL BURGLARY,5,7,4,13,5,1,6,4,7,5,6,9,72
SHOPLIFTING,99,63,79,69,80,79,82,86,83,96,81,109,1006
THEFT FROM BUILDING,13,11,8,9,17,18,14,6,8,8,11,10,133
OTHER LARCENIES,225,184,187,232,226,227,204,228,213,215,214,215,2570
MOTOR VEHICLE THEFT,19,24,19,23,31,26,18,13,21,16,25,31,266
COUNTERFEITING/FORGERY,23,21,16,15,9,14,18,19,28,32,37,31,263
FRAUD,47,45,40,42,46,36,38,51,30,27,63,34,499
EMBEZZLEMENT,11,11,5,14,2,10,12,7,9,7,5,11,104
STOLEN PROPERTY OFFENSES,1,0,4,0,1,1,6,3,1,2,5,3,27
DESTRUCTION/VANDALISM,190,155,172,178,181,212,223,173,176,155,182,187,2184
DRUG/NARCOTIC OFFENSES,64,74,104,86,90,90,67,62,90,76,87,106,996
NONFORCIBLE SEX OFFENSES,1,0,0,0,0,1,0,2,2,0,0,0,6
PORNOGRAPHY,1,0,0,1,0,2,0,0,0,0,0,2,6
GAMBLING,1,0,0,0,0,0,0,0,0,0,0,0,1
PROSTITUTION,4,0,2,0,0,0,0,2,0,0,0,0,8
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,43,26,35,32,51,36,53,37,28,32,32,46,451
TOTAL GROUP A OFFENSES,999,820,921,"1,003","1,050","1,053","1,020",947,953,932,993,"1,015",11706
