Charge,Citation,Total
46.2-874,Speeding In A 25 Mph Zone ,704
46.2-830,Fail To Obey Highway Sign ,460
46.2-646,Expired State Tags ,451
46.2-878.2,"Maximum Speed Limits in Certain Districts of Counties, Cities, and Towns",435
46.2-821,Vehicles Before Entering Certain Highways Shall Stop Or Yield Right-Of-Way,399
46.2-1094,Failure To Wear Seatbelt ,380
46.2-875,Speeding In A 35 Mph Zone ,320
46.2-870,Maximum Speed Limits ,312
46.2-1157,Expired Inspection Of Motor Vehicle ,219
46.2-1158,Expired Rejection Decal ,200
