ST,County,StateFIPS,CountyFIPS,Population,Deaths,Med_Cost,Work_Cost,U_C_Rate
VA,FRANKLIN,51,67,377636,,,,
VA,GLOUCESTER,51,73,254685,,,,
VA,ISLE OF WIGHT,51,93,238257,,,,
VA,JAMES CITY,51,95,436313,,,,
VA,SOUTHAMPTON,51,175,127827,,,,
VA,YORK,51,199,449229,,,,
VA,CHESAPEAKE CITY,51,550,1522619,99,80584.11307,17009273.11,6.501954855
VA,FRANKLIN CITY,51,620,59164,,,,
VA,HAMPTON CITY,51,650,976801,84,72478.84487,14800966.13,8.599499796
VA,NEWPORT NEWS CITY,51,700,1277970,147,100673.43,26900780.23,11.50261743
VA,NORFOLK CITY,51,710,1693869,256,251289.6433,45416656.87,15.11332931
VA,POQUOSON,51,735,84154,,,,
VA,PORTSMOUTH CITY,51,740,679262,106,80485.25636,18656674.51,15.60517149
VA,SUFFOLK CITY,51,800,566082,42,29931.6403,7315346.73,7.419419801
VA,VIRGINIA BEACH CITY,51,810,3052504,135,75567.38878,22714507.51,4.422598627
VA,WILLIAMSBURG CITY,51,830,91389,,,,
