Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,0,2,8,25,31,51,203,232,213,208,217,203,182,789,593,548,661,494,237,79,29,19,5024
Cocaine ,0,0,8,10,22,26,93,119,133,163,146,144,122,542,398,339,362,231,111,49,5,5,3028
Hashish ,0,0,0,0,0,2,4,1,2,1,0,1,2,3,2,4,2,2,3,0,0,0,29
Heroin ,0,0,0,0,2,10,10,26,24,27,21,24,25,150,85,81,75,52,43,9,5,3,672
Marijuana ,1,19,259,330,589,792,1554,1564,1343,1150,978,825,662,2231,1083,764,713,419,223,93,24,17,15633
Morphine ,0,0,1,0,0,0,2,0,1,3,0,1,2,5,9,5,1,2,2,1,0,0,35
Opium ,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,1,1,0,0,8
Other Narcotic ,0,1,5,11,3,10,20,17,20,25,27,24,24,137,89,102,102,72,37,16,6,10,758
LSD ,0,0,0,2,0,0,2,0,0,2,1,1,0,2,1,1,0,0,0,0,0,0,12
PCP ,0,0,0,0,0,0,0,1,2,3,1,0,1,9,2,0,1,0,0,0,0,0,20
Other Halucinogens ,0,0,0,0,1,1,1,0,1,2,3,0,3,4,5,1,2,1,0,0,0,0,25
Amphetamines/ Methamphetamines ,0,0,1,0,2,2,14,17,21,23,12,16,25,131,117,75,56,38,19,1,0,0,570
Other Stimulants ,0,1,0,4,1,1,1,3,2,3,1,7,6,13,7,5,5,2,1,0,0,0,63
Barbituates ,0,0,0,0,0,0,0,1,0,0,2,1,2,1,4,5,3,2,0,0,1,0,22
Other Depressants ,0,0,0,2,5,3,1,3,3,4,1,4,1,8,4,6,6,4,2,1,1,0,59
Other Drugs ,0,1,6,10,14,10,12,24,17,29,12,11,15,56,25,46,33,35,14,7,3,2,382
Unknown Drug Type ,0,5,30,33,95,105,215,250,206,183,135,160,139,534,330,352,282,193,105,39,11,4,3406
TOTAL ,1,29,318,427,765,1013,2133,2258,1989,1826,1558,1422,1211,4615,2754,2334,2307,1547,798,296,85,60,29746
