Location,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Air/Bus/Train Terminal,0,10,0,2,1,7,9
Bank/Savings & Loan,2,6,0,0,0,2,181
Bar/Night Club,7,202,8,2,2,11,32
Church/Synagogue/Temple,1,9,6,3,1,11,10
Commercial/Office Building,3,58,4,1,2,23,88
Construction Site,1,18,4,0,0,4,5
Convenience Store,10,97,4,0,1,4,505
Department/Discount Store,0,34,3,0,1,19,98
Drug Store/Dr Office/Hospital,0,45,14,7,13,19,42
Field/Woods,14,156,56,21,6,32,127
Government/Public Building,1,54,11,8,3,31,15
Grocery/Supermarket,0,26,1,1,0,5,87
Highway/Road/Alley,109,2445,105,28,15,98,2559
Hotel/Motel/Etc.,5,129,77,10,3,38,223
Jail/Penitentiary,1,95,2,6,2,6,1
Lake/Waterway,0,14,2,1,0,6,6
Liquor Store,0,1,0,0,0,0,5
Parking Lot/Garage,36,801,50,17,5,57,1137
Rental/Storage Facility,0,7,0,1,0,4,5
Residence/Home,216,5069,1174,395,193,1671,1415
Restaurant,5,111,7,1,0,32,236
School/College,1,299,45,15,14,193,80
Service/Gas Station,2,44,1,0,1,3,174
Specialty Store,2,31,5,1,0,22,190
Other/Unknown,16,388,97,32,23,161,256
TOTAL,432,10149,1676,552,286,2459,7486
