Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,4,48,14,1,
10--12,1,84,11,,
13--14,4,182,37,,1
15,1,120,41,,
16,1,100,60,,
17,,104,72,1,1
18,1,93,83,1,
19,1,107,76,,1
20,,75,99,1,
21,,63,71,1,2
22,,53,79,1,
23,,56,53,,1
24,1,47,62,,
25-29,,148,203,1,2
30-34,1,116,166,,2
35-39,,90,133,,1
40-44,1,77,125,,1
45-49,1,60,64,,1
50-54,1,24,44,,1
55-59,,11,17,,
60-64,,4,10,,
65 & Over,,15,10,,
Unknown,,11,173,1,82
TOTAL,18,1688,1703,8,96
White,14,1123,878,4,9
Black,4,529,775,4,1
Am. Ind. or Alaskan Native,,2,2,,
Asian or Pacific Isl.,,13,11,,
Unknown,,21,37,,86
TOTAL,18,1688,1703,8,96
