Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter,291,46,0.32,0.15
Negligent Manslaughter,7,1,0.01,0
Kidnapping,799,73,0.89,0.24
Forcible Rape,343,3,0.38,0.01
Forcible Sodomy,164,9,0.18,0.03
Sexual Assault with an Object,95,2,0.11,0.01
Forcible Fondling,617,9,0.68,0.03
Robbery,1700,140,1.88,0.46
Aggravated Assault,3618,1146,4.01,3.79
Simple Assault,24925,9231,27.62,30.52
Intimidation,1341,446,1.49,1.47
Arson,295,40,0.33,0.13
Extortion/Blackmail,23,10,0.03,0.03
Burglary/Breaking & Entering,3526,438,3.91,1.45
Pocket-picking,99,50,0.11,0.17
Purse-snatching,22,13,0.02,0.04
Shoplifting,5364,4542,5.94,15.01
Theft from Building,451,160,0.5,0.53
Theft from Coin-Operated Machine or Device,46,13,0.05,0.04
Theft from Motor Vehicle,394,59,0.44,0.2
Theft of Motor Vehicle Parts or Accessories,91,11,0.1,0.04
All Other Larceny,7337,3338,8.13,11.03
Motor Vehicle Theft,1136,253,1.26,0.84
Counterfeiting/Forgery,1406,960,1.56,3.17
False Pretenses/Swindle/Confidence Game,1613,875,1.79,2.89
Credit Card/Automatic Teller Machine Fraud,211,197,0.23,0.65
Impersonation,300,101,0.33,0.33
Welfare Fraud,11,29,0.01,0.1
Wire Fraud,5,2,0.01,0.01
Embezzlement,720,829,0.8,2.74
Stolen Property Offenses,811,183,0.9,0.6
Destruction.Damage/Vandalism of Property,3491,876,3.87,2.9
Drug/Narcotic Violations,24426,5320,27.06,17.59
Drug Equipment Violations,252,76,0.28,0.25
Incest,10,0,0.01,0
Statutory Rape,137,4,0.15,0.01
Pornography/Obscene Material,62,4,0.07,0.01
Betting/Wagering,41,1,0.05,0
Operating/Promoting/Assisting Gambling,22,3,0.02,0.01
Gambling Equipment Violations,5,0,0.01,0
Sports Tampering,0,0,0,0
Prostitution,252,429,0.28,1.42
Assisting or Promoting Prostitution,76,25,0.08,0.08
Bribery,9,4,0.01,0.01
Weapon Law Violations,3709,299,4.11,0.99
TOTAL ,90253,30250,100.02,99.98
