Name: “Table 1 of 1 on page 19 of 36”,Name: “Table 1 of 1 on page 19 of 36”,Name: “Table 1 of 1 on page 19 of 36”,Name: “Table 1 of 1 on page 19 of 36”,Name: “Table 1 of 1 on page 19 of 36”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,
Table 4: Motor Vehicle Occupants: Selected Characteristics of Collisions - Virginia 2002,Table 4: Motor Vehicle Occupants: Selected Characteristics of Collisions - Virginia 2002,Table 4: Motor Vehicle Occupants: Selected Characteristics of Collisions - Virginia 2002,Table 4: Motor Vehicle Occupants: Selected Characteristics of Collisions - Virginia 2002,Table 4: Motor Vehicle Occupants: Selected Characteristics of Collisions - Virginia 2002
,,Adults Driving Children (n=36) Child Driving With Passengers (n=33),Adults Driving Children (n=36) Child Driving With Passengers (n=33),Child Driving Without Passengers (n=16)
,,%,%,%
Weather,Weather,,,
Clear,Clear,82,73,44
Cloudy,Cloudy,6,9,19
Rain,Rain,6,9,31
Snow/Ice,Snow/Ice,3,9,0
Unknown,Unknown,3,0,6
Selected Road Characteristics 1,Selected Road Characteristics 1,,,
Open Country/Rural Setting,Open Country/Rural Setting,58,52,63
Interstate,Interstate,14,0,0
Two Lane,Two Lane,53,82,81
Intersection,Intersection,28,11,6
Type of Vehicle,Type of Vehicle,,,
"Small Car (sedans, two-door)","Small Car (sedans, two-door)",44,73,44
"Large Car(van, station wagon)","Large Car(van, station wagon)",17,9,0
Pickup Truck,Pickup Truck,22,6,31
Sport Utility Vehicle,Sport Utility Vehicle,11,3,19
Motorcycle,Motorcycle,0,0,6
Other/Unknown,Other/Unknown,6,9,0
Position in Vehicle of Child who Died,Position in Vehicle of Child who Died,,,
Driver Seat,Driver Seat,0,33,100
Front Right Seat,Front Right Seat,42,46,0
Middle Left Seat,Middle Left Seat,3,0,0
Middle Middle Seat,Middle Middle Seat,3,0,0
Middle Right Seat,Middle Right Seat,3,0,0
Rear Left Seat,Rear Left Seat,25,9,0
Rear Middle Seat,Rear Middle Seat,14,9,0
Rear Right Seat,Rear Right Seat,5,3,0
Cargo Area,Cargo Area,5,0,0
Day of Week,Day of Week,,,
Monday,Monday,14,3,12
Tuesday,Tuesday,14,21,12
Wednesday,Wednesday,14,9,12
Thursday,Thursday,3,0,12
Friday,Friday,14,9,19
Saturday,Saturday,22,27,12
Sunday,Sunday,19,31,19
Quarter of Year,Quarter of Year,,,
January - March,January - March,28,33,13
April - June,April - June,22,9,25
July - September,July - September,39,33,13
October - December,October - December,11,25,50
Time of Day,Time of Day,,,
12:01 am - 4:00 am,12:01 am - 4:00 am,11,33,6
4:01 am - 8:00 am,4:01 am - 8:00 am,17,0,25
8:01 am - 12:00 pm,8:01 am - 12:00 pm,14,6,18
12:01 pm - 4:00 pm,12:01 pm - 4:00 pm,22,37,13
4:01 pm -8:00 pm,4:01 pm -8:00 pm,17,12,25
8:00 pm - 12:00 am,8:00 pm - 12:00 am,19,12,13
Common Driver Actions Prior to Collision 1,Common Driver Actions Prior to Collision 1,,,
Inattention,Inattention,24,33,44
Overcorrection,Overcorrection,21,19,38
Ran Off Road,Ran Off Road,62,74,88
Reckless Driving,Reckless Driving,38,48,50
Speeding,Speeding,50,59,75
License Status,License Status,,,
Valid Driver’s License,Valid Driver’s License,100,79,100
Learner’s Permit,Learner’s Permit,0,3,0
Never Licensed,Never Licensed,0,12,0
Unknown,Unknown,0,6,0
Fault,Fault,,,
Driver of Child Who Died,Driver of Child Who Died,80,94,100
Driver of Another Vehicle,Driver of Another Vehicle,20,6,0
1,Percentages will not total to 100.,,,
,Virginia State Child Fatality Review Team - May 2009,Virginia State Child Fatality Review Team - May 2009,,12
