Bureau of Justice Statistics,,,,,,,
filename:  cv0511.csv,,,,,,,
"Table 11. Victimization rates for persons age 12 and over, by type of crime and marital status of victims",,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,
produced by:  Cathy Maston ,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,
data of version:  12/08/06,,,,,,,

"Table 11. Personal crimes, 2005:  Victimization rates for persons age 12 and over, by type of crime and marital status of victims",,,,,,,
,"Rate per 1,000 persons age 12 and over",,,,,,
Type of crime,Never married,,           Married,,         Widowed,,Divorced or separated
All personal crimes,39,,10.8,,6.9,,32.8
Crimes of violence,37.4,,10.3,,6.1,,31.7
   Completed violence,12.8,,2.5,,2.9,,10.9
   Attempted/threatened violence,24.6,,7.8,,3.2,,20.8
   Rape/Sexual assault,1.4,,0.2,*,0.8,*,1.5,
      Rape/Attempted rape,0.9,,0.2,*,0.2,*,1.3,*
         Rape,0.5,,0.1,*,0.2,*,0.8,*
         Attempted rape/a,0.4,*,0.1,*,0,*,0.5,*
      Sexual assault/b,0.6,,0,*,0.5,*,0.2,*
   Robbery,4.8,,1,,1.4,*,3.8,
      Completed/property taken,3.2,,0.6,,1.4,*,2.4,
         With injury,1.1,,0.2,*,1.1,*,0.7,*
         Without injury,2.1,,0.5,,0.2,*,1.7,
      Attempted to take property,1.6,,0.4,,0,*,1.4,*
         With injury,0.4,*,0.1,*,0,*,0.7,*
         Without injury,1.2,,0.2,*,0,*,0.7,*
   Assault,31.2,,9,,4,,26.4,
      Aggravated,7.7,,2.4,,0.5,*,5.2,
         With injury,2.7,,0.6,,0.2,*,1.6,
         Threatened with weapon,5,,1.8,,0.3,*,3.6,
      Simple,23.5,,6.6,,3.6,,21.2,
         With minor injury,6.1,,1.1,,0.7,*,6,
         Without injury,17.4,,5.5,,2.9,,15.2,
  Purse snatching/Pocket picking,1.5,,0.5,,0.8,*,1.1,*
Population age 12 and over,"79,664,210",,"122,198,090",,"14,312,360",,"26,079,910",
Note: Detail may not add to total shown because of rounding.,,,,,,,,
Excludes data on persons whose marital status was not ascertained.,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,
a/Includes verbal threats of rape.,,,,,,,,
b/Includes threats.,,,,,,,,
