Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
filename:  cv0535.csv,,,,,,,,,,,,,,,,,
"Table 35. Victimization rate by victim-offender relationship, by type of crime and selected victim characteristics",,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,

"Table 35. Family violence, 2005:  Victimization rate by victim-offender relationship, by type of crime and selected victim characteristics",,,,,,,,,,,,,,,,,
,,,"Rate per 1,000 persons age 12 and over",,,,,,,,,,,,,,
,,,Crimes of violence/a,,,,,,,,Assault,,,,,,
Characteristic,,Total population, Relatives,,Well-known,,Casual acquaintances,,Strangers,, Relatives,, Well-known,,Casual acquaintances,,Strangers
Gender,,,,,,,,,,,,,,,,,
,Male,"118,937,730",1.2,,4.6,,3.6,,13.8,,1.2,,4.4,,3.4,,10.8
,Female,"125,555,710",2.4,,5.3,,2.4,,5.8,,2.3,,4.5,,1.8,,4.8
Race,,,,,,,,,,,,,,,,,,
,White only,"200,263,410",1.7,,4.6,,2.9,,9.5,,1.6,,4.2,,2.6,,7.7,
,Black only,"29,477,880",2.1,,7.6,,3.4,,10.4,,1.8,,6.4,,2.5,,7,
,Other race only/b,"12,522,090",0.4,*,2.2,*,1.8,*,7.7,,0.4,*,1.7,*,1.8,*,5.7,
,Two or more races/c,"2,230,050",18.8,,21.2,,8.4,*,30.8,,18.8,,18.1,,7.1,*,29.6,
Age,,,,,,,,,,,,,,,,,,
, 12-15,"17,061,940",1.5,*,14.1,,8.8,,15.7,,1.1,*,13.3,,8.4,,13.1,
,16-19,"16,524,940",1.9,*,10.7,,5.6,,21.3,,1.9,*,7.9,,4.6,,15,
,20-24,"20,363,570",1.2,*,12.7,,5.5,,23.5,,1.2,*,11.9,,4.7,,19.8,
,25-34,"39,607,310",3,,5.3,,2.1,,12.1,,3,,4.6,,1.8,,9.6,
,35-49,"65,707,720",2.7,,3.3,,2.4,,7.6,,2.5,,2.9,,2.3,,6.3,
,50-64,"50,164,650",1.1,,1.8,,2.4,,5,,1.1,,1.8,,1.8,,4.1,
,65 and over,"35,063,310",0.4,*,0.6,*,0.2,*,1.1,,0.4,*,0.5,*,0.2,*,0.6,*
Marital status/d,,,,,,,,,,,,,,,,,,
,Married,"122,198,090",1,,2,,1.4,,5.2,,0.9,,1.9,,1.2,,4.5,
,Widowed,"14,312,360",0.4,*,0.2,*,1.5,*,3.5,,0.2,*,0.2,*,1.5,*,2,*
,Divorced or,"26,079,910",7.4,,7.1,,4.7,,11,,7.1,,5.8,,4.2,,8.3
