Bureau of Justice Statistics,,,,,,
filename:  cv0519.csv,,,,,,
Table 19. Victimization rates by type of crime and age of head of household,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,
produced by:  Cathy Maston ,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,
data of version:  12/08/06,,,,,,

"Table 19. Property crimes, 2005: Victimization rates by type of crime and age of head of household",,,,,,
,"Rate per 1,000 households",,,,,
Type of crime, 12-19,,20-34,35-49,50-64,           65 and over
Property crimes,356.1,,193.2,186.7,134.8,72.3
  Household burglary,100.6,,35.2,34.6,25.3,16.8
    Completed,95,,30.1,28.6,21.2,13.7
      Forcible entry,6.3,*,15.4,9.9,6.4,4.4
      Unlawful entry without force,88.7,,14.7,18.8,14.8,9.4,
    Attempted forcible entry,5.6,*,5.1,6,4.1,3.1,
  Motor vehicle theft,14.4,*,12.5,9.8,7,2.8,
    Completed,14.4,*,11.1,7.6,4.5,2.2,
    Attempted,0,*,1.4,2.2,2.5,0.5,*
  Theft,241.1,,145.5,142.3,102.5,52.7,
    Completed,238.7,,140.1,136.8,98.8,51.4,
       Less than $50,84.2,,39.6,40.4,33.2,20.2,
       $50 - $249,74.1,,50.6,53.3,31.7,14.4,
       $250 or more,72.4,,40.5,31.1,23.6,10.3,
       Amount not available,8,*,9.4,12,10.2,6.5,
     Attempted,2.5,*,5.4,5.5,3.8,1.4,*
Total number of households,"1,115,140",,"26,698,630","36,673,480","29,315,290","23,308,250",
Note: Detail may not add to total shown because of rounding.,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,
