Bureau of Justice Statistics,,
filename:  cv0587.csv,,
"Table 87. Percent of victimizations resulting in loss of time from work, by type of crime",,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,
produced by:  Cathy Maston ,,
authors:  Patsy Klaus and Cathy Maston,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,
data of version:  12/08/06,,

"Table 87. Selected personal and property crimes, 2005: Percent of victimizations resulting in loss of time from work, by type of crime",,
Type of crime         ,Percent of all victimizations,
All personal crimes/a,8,%
Crimes of violence,8.2,
   Completed violence,15.6,
   Attempted/threatened violence,4.7,
   Rape/Sexual assault/b,13.7,*
   Robbery,10.2,
      Completed/property taken,11.5,
         With injury,17.4,*
         Without injury,8.4,*
      Attempted to take property,7.6,*
         With injury,10.9,*
         Without injury,6.1,*
   Assault,7.7,
      Aggravated,11.3,
      Simple,6.5,
All property crimes                         ,5.7,%
   Household burglary                                ,7.7,
      Completed                            ,8.6,
         Forcible entry                     ,14,
         Unlawful entry without force       ,5.4,
      Attempted forcible entry             ,3.1,*
   Motor vehicle theft                     ,18.9,
      Completed                            ,23.2,
      Attempted                            ,2.3,*
   Theft,4.3,
      Completed,4.3,
         Less than $50,2.4,
         $50 - $249,3.7,
         $250 or more,7.8,
         Amount not available,4,
      Attempted,2.9,*
Note: Detail may not add to total shown because of rounding.,,
*Estimate is based on about 10 or fewer sample cases.,,
"a/Includes data on purse snatching/pocket picking, not shown separately.",,
b/Includes verbal threats of rape and threats of sexual assault.,,


























































































,,,,,,,,,,,,,,,,,,,,,,,,,,"419,000",b%,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"406,620",,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"244,210",,14.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"162,410",,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,"25,770",*,13
,,,,,,,,,,,,,,,,,,,,,,,,,,"87,100",,14.6
,,,,,,,,,,,,,,,,,,,,,,,,,,"56,730",,15
,,,,,,,,,,,,,,,,,,,,,,,,,,"36,110",,22.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"20,620",*,9.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"30,370",*,13.9
,,,,,,,,,,,,,,,,,,,,,,,,,,"15,880",*,29.6
,,,,,,,,,,,,,,,,,,,,,,,,,,"14,490",*,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"293,750",,6.4
,,,,,,,,,,,,,,,,,,,,,,,,,,"138,510",,12.6
,,,,,,,,,,,,,,,,,,,,,,,,,,"155,240",,4.4
,,,,,,,,,,,,,,,,,,,,,,,,,,"1,129,340",b%,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,"209,450",,6.2
,,,,,,,,,,,,,,,,,,,,,,,,,,"191,940",,6.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"123,520",,12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,"68,420",,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"17,510",*,3
,,,,,,,,,,,,,,,,,,,,,,,,,,"215,070",,20.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"194,760",,25.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"20,300",*,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"704,820",,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"662,580",,4.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"99,200",,2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"156,320",,3.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"319,460",,9.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"87,610",,6.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"42,240",,8.8,,,,
,,,,8.8,,,,,,,,,,,,,,,,,,,,,,"343,090",b%,7.8,,"55,660",b%,6.3
,,,,8.6,,,,,,,,,,,,,,,,,,,,,,"330,710",,7.8,,"55,660",,6.7
,,,,17.5,,,,,,,,,,,,,,,,,,,,,,"198,570",,16.4,,"31,210",*,9.7
,,,,2.7,,,,,,,,,,,,,,,,,,,,,,"132,140",,4.3,,"24,450",*,4.8
,,,,23.7,,,,,,,,,,,,,,,,,,,,,,"25,770",*,16.1,,0,*,0
,,,,8.6,,,,,,,,,,,,,,,,,,,,,,"55,850",,15,,"20,050",*,11.9
,,,,7.7,,,,,,,,,,,,,,,,,,,,,,"249,090",,6.7,,"35,610",,5.6
,,,,6,,,,,,,,,,,,,,,,,,,,,,"885,390",b%,5.9,,"198,730",b%,7.5
,,,,5.5,,,,,,,,,,,,,,,,,,,,,,"819,800",,5.8,,"186,540",,7.7
,,,,10.7,,,,,,,,,,,,,,,,,,,,,,"65,590",,6.4,,"12,190",*,5
,,,,7.7,,,,,,,,,,,,,,,,,,,,,,"143,920",,5.4,,"55,390",,10.2
,,,,19.8,,,,,,,,,,,,,,,,,,,,,,"162,890",,22,,"45,100",,21.1
,,,,4,,,,,,,,,,,,,,,,,,,,,,"578,580",,5,,"98,240",,5.2
