Bureau of Justice Statistics,,,,,,,,,,,
filename:  cv0571.csv,,,,,,,,,,,
"Table 71. Percent distribution of self-protective measures employed by victims, by selected characteristics of victims",,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,

"Table 71. Personal crimes of violence, 2005: Percent distribution of self-protective measures employed by victims, by selected characteristics of victims",,,,,,,,,,,
,,Percent of self-protective measures,,,,,,,,,
,,Gender,,,,,,                     Race/a,,,
Self-protective measure,,    Both genders,,Male,,Female,,White only,,Black only,
Total,,100,%,100,%,100,%,100,%,100,%
,Attacked offender with weapon,0.8,,1.2,*,0.3,*,0.9,*,0.6,*
,Attacked offender without weapon,8.6,,10.5,,6.1,,8.2,,9.7,
,Threatened offender with weapon,0.9,,1.3,*,0.3,*,0.7,*,2.2,*
,Threatened offender without weapon,1.4,,1.7,,1.1,*,1.6,,0.8,*
,Resisted or captured offender,25.6,,33.4,,15.8,,26.4,,22.4,
,Scared or warned offender,10.4,,8.1,,13.2,,10.1,,11.2,
,Persuaded or appeased offender,11.1,,9.3,,13.5,,10.1,,13.9,
,Ran away or hid,14.4,,11.7,,17.9,,15,,11.9,
,Got help or gave alarm,14.2,,11.1,,18.1,,14.3,,14.6,
,Screamed from pain or fear,1.7,,0.7,*,2.9,,1.7,,2.5,*
,Took other measures,10.8,,10.8,,10.8,,11,,10.3,
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,
"Excludes data on persons of ""Other"" races and persons indicating two or more races.",,,,,,,,,,,
Some respondents may have cited more than one self-protective measure employed.,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,
a/Excludes data on persons other than White only or Black only.,,,,,,,,,,,











































































































,,,,,,,,,,,,,,,,,11.3
,,,,,,,,,,,,,,,,,17.2
,,,,,,,,,,,,,,,,,10.9
,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,10.5
,,,,,,,,,,,,,,,,,11.2






,,,,,,,,,,,,,,,,,42.5
,,,,,,,,,,,,,,,,,38.4
,,,,,,,,,,,,,,,,,49.2
,,,,,,,,,,,,,,,,,41.8
,,,,,,,,,,,,,,,,,42.2
,,,,,,,,,,,,,,,,,41.7
