Bureau of Justice Statistics,,,,,,,,,,,,,,
filename:  cv0564.csv,,,,,,,,,,,,,,
"Table 64. Percent distribution of incidents, by victim's activity at time of incident and type of crime",,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,

"Table 64. Personal and property crimes, 2005: Percent distribution of incidents, by victim's activity at time of incident and type of crime",,,,,,,,,,,,,,
,,,Percent of incidents,,,,,,,,,,,
Type of crime,Number of incidents,,  Total,,Working or on duty,,On the way to or from work,,On the way to or from school,,On the way to or from some other place,,Shopping or running errands,
Crimes of violence,"4,718,330",,100,%,16.3,%,3.8,%,4.2,%,10.3,%,4.2,%
   Rape/Sexual assault/a,"188,960",,100,%,11,*,1.3,*,3.2,*,4.3,*,0,*
   Robbery,"569,470",,100,%,4.9,*,10,,7.4,,20,,10.7,
   Aggravated assault,"926,060",,100,%,15.4,,2.3,*,4.1,,11.9,,3.6,*
   Simple assault,"3,033,840",,100,%,19,,3.3,,3.7,,8.4,,3.5,
Purse snatching/Pocket picking,"227,070",,100,%,1.7,*,3.6,*,0,*,3,*,34.6,
Property crimes,"18,039,930",,100,%,13.8,%,0.6,%,0.4,%,1.2,%,5.6,%
   Household burglary,"3,456,220",,100,%,21.5,,1.4,,0.3,*,1.5,,5.1,
   Motor vehicle theft,"978,120",,100,%,12.2,,0.3,*,0,*,1.1,*,1.6,*
   Theft,"13,605,590",,100,%,12,,0.5,,0.4,,1.2,,6,
,Percent of incidents,,,,,,,,,,,,,
Type of crime,Attending school,,Leisure activity away from home,,Sleeping,,Other activities at home,,  Other,,Don't know,,Not available,
Crimes of violence,8.1,%,22.3,%,2.1,%,21.5,%,6.6,%,0.5,%*,0,%*
   Rape/Sexual assault/a,4.6,*,29.1,,20.3,,24.7,,1.7,*,0,*,0,*
   Robbery,3.2,*,21.7,,3.1,*,13.3,,4.8,*,1,*,0,*
   Aggravated assault,3.3,*,31.2,,1.8,*,21.4,,4.9,,0,*,0,*
   Simple assault,10.7,,19.3,,0.8,*,22.9,,7.7,,0.6,*,0,*
Purse snatching/Pocket picking,9.9,*,26.3,,1.3,*,0,*,15.8,*,3.9,*,0,*
Property crimes,5.5,%,14.5,%,27,%,11.5,%,4.5,%,15.4,%,0,%*
   Household burglary,1.5,,18.4,,16.8,,8.8,,4.9,,19.8,,0,*
   Motor vehicle theft,0.4,*,11,,49.9,,12.4,,3.7,*,7.4,,0,*
   Theft,6.9,,13.7,,28,,12.1,,4.4,,14.9,,0,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,,





















































































0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
