Bureau of Justice Statistics,,,,
filename:  cv0591b.csv,,,,
"Table 91b. Percent of victimizations reported to the police, by type of crime and gender and race or ethnicity of victims",,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,
produced by:  Cathy Maston ,,,,
authors:  Patsy Klaus and Cathy Maston,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,
data of version:  12/08/06,,,,

"Table 91b. Violent crimes, 2005: Percent of victimizations reported to the police, by type of crime and gender and race or ethnicity of victims",,,,
,Percent of all victimizations reported to the police,,,
Characteristic,Crimes of violence/a,,Property crimes,
Total,47.4,%,39.6,%
     Male,,,,
          White only,42.8,,39.6,
          Black only,41.5,,44,
          Other race only/b,49,,37.2
          Two or more races/c,25.9,*,42.1
     Female,,,
          White only,53.9,,38.8
          Black only,58.3,,44.7
          Other race only/b,58.1,,30.2
          Two or more races/c,49.3,,31.6
     Male,,,
          Hispanic,43.5,,37.8
          Non-Hispanic,42.3,,40.3
     Female,,,
          Hispanic,60.3,,36.8
          Non-Hispanic,53.5,,39.6
*Estimate is based on about 10 or fewer sample cases.,,,
Excludes data on persons whose ethnicity was not ascertained.,,,
"a/Includes data on rape and sexual assault, not shown separately.",,,
"b/Includes American Indian, Eskimo, Asian Pacific Islander if only one of these races is given."
"c/Includes all persons of any race, indicating two or more races."
